commodities,sectors,table,subtable
322,F030,use,exogenous_final_demand
322,F06C,use,exogenous_final_demand
322,F06E,use,exogenous_final_demand
322,F06N,use,exogenous_final_demand
322,F06S,use,exogenous_final_demand
322,F07C,use,exogenous_final_demand
322,F07E,use,exogenous_final_demand
322,F07N,use,exogenous_final_demand
322,F07S,use,exogenous_final_demand
322,F10C,use,exogenous_final_demand
322,F10E,use,exogenous_final_demand
322,F10N,use,exogenous_final_demand
322,F10S,use,exogenous_final_demand
323,F02E,use,exogenous_final_demand
323,F02N,use,exogenous_final_demand
323,F02R,use,exogenous_final_demand
323,F02S,use,exogenous_final_demand
323,F030,use,exogenous_final_demand
323,F06C,use,exogenous_final_demand
323,F06E,use,exogenous_final_demand
323,F06N,use,exogenous_final_demand
323,F06S,use,exogenous_final_demand
323,F07C,use,exogenous_final_demand
323,F07E,use,exogenous_final_demand
323,F07N,use,exogenous_final_demand
323,F07S,use,exogenous_final_demand
323,F10C,use,exogenous_final_demand
323,F10E,use,exogenous_final_demand
323,F10N,use,exogenous_final_demand
323,F10S,use,exogenous_final_demand
324,F02E,use,exogenous_final_demand
324,F02N,use,exogenous_final_demand
324,F02R,use,exogenous_final_demand
324,F02S,use,exogenous_final_demand
324,F030,use,exogenous_final_demand
324,F06C,use,exogenous_final_demand
324,F06E,use,exogenous_final_demand
324,F06N,use,exogenous_final_demand
324,F06S,use,exogenous_final_demand
324,F07C,use,exogenous_final_demand
324,F07E,use,exogenous_final_demand
324,F07N,use,exogenous_final_demand
324,F07S,use,exogenous_final_demand
324,F10C,use,exogenous_final_demand
324,F10E,use,exogenous_final_demand
324,F10N,use,exogenous_final_demand
324,F10S,use,exogenous_final_demand
325,F02E,use,exogenous_final_demand
325,F02N,use,exogenous_final_demand
325,F02R,use,exogenous_final_demand
325,F02S,use,exogenous_final_demand
325,F030,use,exogenous_final_demand
325,F06C,use,exogenous_final_demand
325,F06E,use,exogenous_final_demand
325,F06N,use,exogenous_final_demand
325,F06S,use,exogenous_final_demand
325,F07C,use,exogenous_final_demand
325,F07E,use,exogenous_final_demand
325,F07N,use,exogenous_final_demand
325,F07S,use,exogenous_final_demand
325,F10C,use,exogenous_final_demand
325,F10E,use,exogenous_final_demand
325,F10N,use,exogenous_final_demand
325,F10S,use,exogenous_final_demand
326,F02E,use,exogenous_final_demand
326,F02N,use,exogenous_final_demand
326,F02R,use,exogenous_final_demand
326,F02S,use,exogenous_final_demand
326,F030,use,exogenous_final_demand
326,F06C,use,exogenous_final_demand
326,F06E,use,exogenous_final_demand
326,F06N,use,exogenous_final_demand
326,F06S,use,exogenous_final_demand
326,F07C,use,exogenous_final_demand
326,F07E,use,exogenous_final_demand
326,F07N,use,exogenous_final_demand
326,F07S,use,exogenous_final_demand
326,F10C,use,exogenous_final_demand
326,F10E,use,exogenous_final_demand
326,F10N,use,exogenous_final_demand
326,F10S,use,exogenous_final_demand
327,F02E,use,exogenous_final_demand
327,F02N,use,exogenous_final_demand
327,F02R,use,exogenous_final_demand
327,F02S,use,exogenous_final_demand
327,F030,use,exogenous_final_demand
327,F06C,use,exogenous_final_demand
327,F06E,use,exogenous_final_demand
327,F06N,use,exogenous_final_demand
327,F06S,use,exogenous_final_demand
327,F07C,use,exogenous_final_demand
327,F07E,use,exogenous_final_demand
327,F07N,use,exogenous_final_demand
327,F07S,use,exogenous_final_demand
327,F10C,use,exogenous_final_demand
327,F10E,use,exogenous_final_demand
327,F10N,use,exogenous_final_demand
327,F10S,use,exogenous_final_demand
331,F02E,use,exogenous_final_demand
331,F02N,use,exogenous_final_demand
331,F02R,use,exogenous_final_demand
331,F02S,use,exogenous_final_demand
331,F030,use,exogenous_final_demand
331,F06C,use,exogenous_final_demand
331,F06E,use,exogenous_final_demand
331,F06N,use,exogenous_final_demand
331,F06S,use,exogenous_final_demand
331,F07C,use,exogenous_final_demand
331,F07E,use,exogenous_final_demand
331,F07N,use,exogenous_final_demand
331,F07S,use,exogenous_final_demand
331,F10C,use,exogenous_final_demand
331,F10E,use,exogenous_final_demand
331,F10N,use,exogenous_final_demand
331,F10S,use,exogenous_final_demand
332,F02E,use,exogenous_final_demand
332,F02N,use,exogenous_final_demand
332,F02R,use,exogenous_final_demand
332,F02S,use,exogenous_final_demand
332,F030,use,exogenous_final_demand
332,F06C,use,exogenous_final_demand
332,F06E,use,exogenous_final_demand
332,F06N,use,exogenous_final_demand
332,F06S,use,exogenous_final_demand
332,F07C,use,exogenous_final_demand
332,F07E,use,exogenous_final_demand
332,F07N,use,exogenous_final_demand
332,F07S,use,exogenous_final_demand
332,F10C,use,exogenous_final_demand
332,F10E,use,exogenous_final_demand
332,F10N,use,exogenous_final_demand
332,F10S,use,exogenous_final_demand
333,F02E,use,exogenous_final_demand
333,F02N,use,exogenous_final_demand
333,F02R,use,exogenous_final_demand
333,F02S,use,exogenous_final_demand
333,F030,use,exogenous_final_demand
333,F06C,use,exogenous_final_demand
333,F06E,use,exogenous_final_demand
333,F06N,use,exogenous_final_demand
333,F06S,use,exogenous_final_demand
333,F07C,use,exogenous_final_demand
333,F07E,use,exogenous_final_demand
333,F07N,use,exogenous_final_demand
333,F07S,use,exogenous_final_demand
333,F10C,use,exogenous_final_demand
333,F10E,use,exogenous_final_demand
333,F10N,use,exogenous_final_demand
333,F10S,use,exogenous_final_demand
