var_name,value,margin
Y→VAwtt,1.015495275395084,-0.0
Y→VAwpd,1.006518145149886,-0.0
Y→VAwht,1.023030980337467,-0.0
Y→VAwrh,1.019430323833484,-0.0
Y→VAott,1.023494551114461,-0.0
Y→VAche,1.005445257329534,-0.0
Y→VAair,1.085347914233066,-0.0
Y→VAmmf,0.996969582542044,-0.0
Y→VAotr,1.022454848569796,-0.0
Y→VAmin,1.016804198172421,-0.0
A→dmppd,1.015986864418713,.
A→dmres,1.03671030976282,0.0
A→dmcom,1.000949888587369,.
A→dmamb,0.970346029032069,0.0
A→dmfbp,1.041864609173477,.
A→dmrec,1.025380560268688,0.0
A→dmcon,0.99850450901488,0.0
A→dmagr,1.023595771867793,.
A→dmeec,1.007211097684192,.
A→dmfnd,1.000000000000008,-0.0
A→dmpub,0.995390647922127,.
A→dmhou,0.947340237170885,0.0
A→dmins,0.995012305296956,.
A→dmtex,1.024555681082804,.
A→dmleg,1.005391603486503,.
A→dmfen,1.004195696068169,.
A→dmuti,1.020480422043055,.
A→dmnmp,1.00572161378275,.
A→dmbrd,1.023139724179874,.
A→dmbnk,0.982247691909843,.
A→dmore,1.004250547317045,0.0
A→dmedu,0.971904252436642,.
A→dmote,1.003255415407211,.
A→dmman,1.015755777573628,0.0
A→dmmch,1.006474370002202,.
A→dmdat,0.997095136471378,.
A→dmamd,1.042279427102632,0.0
A→dmoil,1.073576247999893,.
A→dmhos,0.975843406185342,.
A→dmrnt,1.012986503605768,0.0
A→dmpla,1.013157568837148,.
A→dmfof,1.015079342177523,.
A→dmfin,0.97723211806157,0.0
A→dmtsv,1.001976708534143,.
A→dmnrs,0.986301951537178,0.0
A→dmsec,0.98184694886072,.
A→dmart,1.006448436858354,.
A→dmmov,1.007307347795392,.
A→dmfpd,1.010830243903876,.
A→dmslg,1.000000000000194,0.0
A→dmpri,1.002642225729345,.
A→dmgrd,0.992577811602322,0.0
A→dmpip,1.062226116947835,-0.0
A→dmsle,0.996996466283215,0.0
A→dmosv,0.999043118725166,.
A→dmtrn,0.986965549110831,0.0
A→dmsmn,1.007319633877261,.
A→dmfmt,1.008942140516748,.
A→dmpet,1.078775354475936,.
A→dmcep,0.998660304505006,.
A→dmwst,1.00298117495351,.
A→dmmot,1.015959268360804,.
A→dmadm,1.002411944843435,.
A→dmsoc,0.978118115084264,-0.0
A→dmalt,1.077607255737754,.
A→dmpmt,1.01403892070026,.
A→dmtrk,1.018106799232526,0.0
A→dmfdd,1.000000000000014,0.0
A→dmwtt,1.006937679222523,-0.0
A→dmwpd,1.006346502515117,.
A→dmwht,1.01980126370139,-0.0
A→dmwrh,1.019699581081332,0.0
