domain,value,var,,,,
nrs,0.986301953,A,"A[(:nrs,)]",0.986301953,"A[(:nrs,)]",0.98630195
sec,0.981846949,A,"A[(:sec,)]",0.981846949,"A[(:sec,)]",0.98184695
art,1.006448437,A,"A[(:art,)]",1.006448437,"A[(:art,)]",1.00644844
mov,1.007307347,A,"A[(:mov,)]",1.007307347,"A[(:mov,)]",1.00730735
fpd,1.010830245,A,"A[(:fpd,)]",1.010830245,"A[(:fpd,)]",1.01083024
slg,1,A,"A[(:slg,)]",1,"A[(:slg,)]",1
pri,1.002642225,A,"A[(:pri,)]",1.002642225,"A[(:pri,)]",1.00264223
grd,0.992577812,A,"A[(:grd,)]",0.992577812,"A[(:grd,)]",0.99257781
pip,1.062226122,A,"A[(:pip,)]",1.062226122,"A[(:pip,)]",1.06222612
sle,0.996996457,A,"A[(:sle,)]",0.996996457,"A[(:sle,)]",0.99699647
osv,0.999043118,A,"A[(:osv,)]",0.999043118,"A[(:osv,)]",0.99904312
trn,0.986965551,A,"A[(:trn,)]",0.986965551,"A[(:trn,)]",0.98696555
smn,1.007319629,A,"A[(:smn,)]",1.007319629,"A[(:smn,)]",1.00731963
fmt,1.008942142,A,"A[(:fmt,)]",1.008942142,"A[(:fmt,)]",1.00894214
pet,1.078775355,A,"A[(:pet,)]",1.078775355,"A[(:pet,)]",1.07877535
mvt,1,A,"A[(:mvt,)]",1,"A[(:mvt,)]",0
cep,0.998660304,A,"A[(:cep,)]",0.998660304,"A[(:cep,)]",0.9986603
wst,1.002981173,A,"A[(:wst,)]",1.002981173,"A[(:wst,)]",1.00298117
mot,1.015959268,A,"A[(:mot,)]",1.015959268,"A[(:mot,)]",1.01595927
adm,1.002411945,A,"A[(:adm,)]",1.002411945,"A[(:adm,)]",1.00241194
soc,0.978118116,A,"A[(:soc,)]",0.978118116,"A[(:soc,)]",0.97811812
alt,1.077607254,A,"A[(:alt,)]",1.077607254,"A[(:alt,)]",1.07760726
pmt,1.014038921,A,"A[(:pmt,)]",1.014038921,"A[(:pmt,)]",1.01403892
trk,1.018106798,A,"A[(:trk,)]",1.018106798,"A[(:trk,)]",1.0181068
fdd,1,A,"A[(:fdd,)]",1,"A[(:fdd,)]",1
gmt,1,A,"A[(:gmt,)]",1,"A[(:gmt,)]",0
wtt,1.006937679,A,"A[(:wtt,)]",1.006937679,"A[(:wtt,)]",1.00693768
wpd,1.006346505,A,"A[(:wpd,)]",1.006346505,"A[(:wpd,)]",1.0063465
wht,1.019801268,A,"A[(:wht,)]",1.019801268,"A[(:wht,)]",1.01980126
wrh,1.019699585,A,"A[(:wrh,)]",1.019699585,"A[(:wrh,)]",1.01969958
ott,0.984339732,A,"A[(:ott,)]",0.984339732,"A[(:ott,)]",0.98433973
che,1.006905816,A,"A[(:che,)]",1.006905816,"A[(:che,)]",1.00690582
air,1.077979211,A,"A[(:air,)]",1.077979211,"A[(:air,)]",1.07797921
mmf,1.007115612,A,"A[(:mmf,)]",1.007115612,"A[(:mmf,)]",1.00711561
otr,1.021080302,A,"A[(:otr,)]",1.021080302,"A[(:otr,)]",1.0210803
min,1.016301557,A,"A[(:min,)]",1.016301557,"A[(:min,)]",1.01630155
trn,1.027484211,MS,"MS[(:trn,)]",1.027484211,"MS[(:trn,)]",1.02748421
trd,1.022785218,MS,"MS[(:trd,)]",1.022785218,"MS[(:trd,)]",1.02278522
ppd,0.945634369,PA,"PA[(:ppd,)]",0.945634369,"PA[(:ppd,)]",0.94563437
res,0.905438679,PA,"PA[(:res,)]",0.905438679,"PA[(:res,)]",0.90543868
com,0.974365685,PA,"PA[(:com,)]",0.974365685,"PA[(:com,)]",0.97436568
amb,0.97709585,PA,"PA[(:amb,)]",0.97709585,"PA[(:amb,)]",0.97709584
fbp,0.905582266,PA,"PA[(:fbp,)]",0.905582266,"PA[(:fbp,)]",0.90558227
rec,0.923949512,PA,"PA[(:rec,)]",0.923949512,"PA[(:rec,)]",0.92394951
con,0.961935259,PA,"PA[(:con,)]",0.961935259,"PA[(:con,)]",0.96193525
agr,0.96906201,PA,"PA[(:agr,)]",0.96906201,"PA[(:agr,)]",0.96906201
eec,0.937841432,PA,"PA[(:eec,)]",0.937841432,"PA[(:eec,)]",0.93784143
fnd,0.980078178,PA,"PA[(:fnd,)]",0.980078178,"PA[(:fnd,)]",0.98007818
pub,0.955834186,PA,"PA[(:pub,)]",0.955834186,"PA[(:pub,)]",0.95583418
hou,1.000564222,PA,"PA[(:hou,)]",1.000564222,"PA[(:hou,)]",1.00056422
fbt,1,PA,"PA[(:fbt,)]",1,"PA[(:fbt,)]",1
ins,0.95538235,PA,"PA[(:ins,)]",0.95538235,"PA[(:ins,)]",0.95538236
tex,0.912723734,PA,"PA[(:tex,)]",0.912723734,"PA[(:tex,)]",0.91272373
leg,0.935148987,PA,"PA[(:leg,)]",0.935148987,"PA[(:leg,)]",0.93514898
fen,0.977486962,PA,"PA[(:fen,)]",0.977486962,"PA[(:fen,)]",0.97748696
uti,0.919268683,PA,"PA[(:uti,)]",0.919268683,"PA[(:uti,)]",0.91926868
nmp,0.939368148,PA,"PA[(:nmp,)]",0.939368148,"PA[(:nmp,)]",0.93936815
brd,0.912847599,PA,"PA[(:brd,)]",0.912847599,"PA[(:brd,)]",0.9128476
bnk,0.979008389,PA,"PA[(:bnk,)]",0.979008389,"PA[(:bnk,)]",0.97900839
ore,0.965133801,PA,"PA[(:ore,)]",0.965133801,"PA[(:ore,)]",0.9651338
edu,0.978610359,PA,"PA[(:edu,)]",0.978610359,"PA[(:edu,)]",0.97861036
ote,0.961441908,PA,"PA[(:ote,)]",0.961441908,"PA[(:ote,)]",0.96144191
man,0.97556216,PA,"PA[(:man,)]",0.97556216,"PA[(:man,)]",0.97556216
mch,0.947639065,PA,"PA[(:mch,)]",0.947639065,"PA[(:mch,)]",0.94763906
dat,0.967952547,PA,"PA[(:dat,)]",0.967952547,"PA[(:dat,)]",0.96795255
amd,0.892822538,PA,"PA[(:amd,)]",0.892822538,"PA[(:amd,)]",0.89282254
oil,0.944983672,PA,"PA[(:oil,)]",0.944983672,"PA[(:oil,)]",0.94498367
hos,0.971305933,PA,"PA[(:hos,)]",0.971305933,"PA[(:hos,)]",0.97130593
rnt,0.932068283,PA,"PA[(:rnt,)]",0.932068283,"PA[(:rnt,)]",0.93206828
pla,0.93675232,PA,"PA[(:pla,)]",0.93675232,"PA[(:pla,)]",0.93675232
fof,0.96616522,PA,"PA[(:fof,)]",0.96616522,"PA[(:fof,)]",0.96616522
fin,0.970513739,PA,"PA[(:fin,)]",0.970513739,"PA[(:fin,)]",0.97051374
tsv,0.974258324,PA,"PA[(:tsv,)]",0.974258324,"PA[(:tsv,)]",0.97425832
nrs,0.961224273,PA,"PA[(:nrs,)]",0.961224273,"PA[(:nrs,)]",0.96122427
sec,0.973613672,PA,"PA[(:sec,)]",0.973613672,"PA[(:sec,)]",0.97361367
art,0.945780772,PA,"PA[(:art,)]",0.945780772,"PA[(:art,)]",0.94578076
mov,0.95053652,PA,"PA[(:mov,)]",0.95053652,"PA[(:mov,)]",0.95053652
fpd,0.926863031,PA,"PA[(:fpd,)]",0.926863031,"PA[(:fpd,)]",0.92686303
slg,0.971202576,PA,"PA[(:slg,)]",0.971202576,"PA[(:slg,)]",0.97120257
pri,0.953322692,PA,"PA[(:pri,)]",0.953322692,"PA[(:pri,)]",0.95332269
grd,0.961184232,PA,"PA[(:grd,)]",0.961184232,"PA[(:grd,)]",0.96118423
pip,0.779861393,PA,"PA[(:pip,)]",0.779861393,"PA[(:pip,)]",0.77986139
sle,0.955519879,PA,"PA[(:sle,)]",0.955519879,"PA[(:sle,)]",0.95551987
osv,0.951762529,PA,"PA[(:osv,)]",0.951762529,"PA[(:osv,)]",0.95176253
trn,1.142429882,PA,"PA[(:trn,)]",1.142429882,"PA[(:trn,)]",1.14242989
smn,0.966755543,PA,"PA[(:smn,)]",0.966755543,"PA[(:smn,)]",0.96675554
fmt,0.947009245,PA,"PA[(:fmt,)]",0.947009245,"PA[(:fmt,)]",0.94700924
pet,0.820924988,PA,"PA[(:pet,)]",0.820924988,"PA[(:pet,)]",0.82092499
mvt,1,PA,"PA[(:mvt,)]",1,"PA[(:mvt,)]",1
cep,0.957657289,PA,"PA[(:cep,)]",0.957657289,"PA[(:cep,)]",0.95765729
wst,0.954004512,PA,"PA[(:wst,)]",0.954004512,"PA[(:wst,)]",0.95400452
mot,0.929958822,PA,"PA[(:mot,)]",0.929958822,"PA[(:mot,)]",0.92995883
adm,0.967722383,PA,"PA[(:adm,)]",0.967722383,"PA[(:adm,)]",0.96772238
soc,0.969159094,PA,"PA[(:soc,)]",0.969159094,"PA[(:soc,)]",0.96915909
alt,0.876066105,PA,"PA[(:alt,)]",0.876066105,"PA[(:alt,)]",0.8760661
pmt,0.959700146,PA,"PA[(:pmt,)]",0.959700146,"PA[(:pmt,)]",0.95970015
trk,0.942049355,PA,"PA[(:trk,)]",0.942049355,"PA[(:trk,)]",0.94204936
fdd,0.975397084,PA,"PA[(:fdd,)]",0.975397084,"PA[(:fdd,)]",0.97539708
gmt,1,PA,"PA[(:gmt,)]",1,"PA[(:gmt,)]",1
wtt,0.947499647,PA,"PA[(:wtt,)]",0.947499647,"PA[(:wtt,)]",0.94749965
wpd,0.944991672,PA,"PA[(:wpd,)]",0.944991672,"PA[(:wpd,)]",0.94499167
wht,0.975014894,PA,"PA[(:wht,)]",0.975014894,"PA[(:wht,)]",0.97501489
wrh,0.968571173,PA,"PA[(:wrh,)]",0.968571173,"PA[(:wrh,)]",0.96857117
ott,0.975257967,PA,"PA[(:ott,)]",0.975257967,"PA[(:ott,)]",0.97525797
che,0.94464432,PA,"PA[(:che,)]",0.94464432,"PA[(:che,)]",0.94464431
air,0.854371393,PA,"PA[(:air,)]",0.854371393,"PA[(:air,)]",0.85437139
mmf,0.933637759,PA,"PA[(:mmf,)]",0.933637759,"PA[(:mmf,)]",0.93363776
otr,0.960960791,PA,"PA[(:otr,)]",0.960960791,"PA[(:otr,)]",0.96096079
min,0.933400105,PA,"PA[(:min,)]",0.933400105,"PA[(:min,)]",0.9334001
ppd,0.957868287,PY,"PY[(:ppd,)]",0.957868287,"PY[(:ppd,)]",0.95786828
res,0.968514038,PY,"PY[(:res,)]",0.968514038,"PY[(:res,)]",0.96851404
com,0.981996223,PY,"PY[(:com,)]",0.981996223,"PY[(:com,)]",0.98199622
amb,0.977572048,PY,"PY[(:amb,)]",0.977572048,"PY[(:amb,)]",0.97757204
fbp,0.955374629,PY,"PY[(:fbp,)]",0.955374629,"PY[(:fbp,)]",0.95537463
rec,0.969420799,PY,"PY[(:rec,)]",0.969420799,"PY[(:rec,)]",0.96942079
con,0.963061555,PY,"PY[(:con,)]",0.963061555,"PY[(:con,)]",0.96306155
agr,0.958425576,PY,"PY[(:agr,)]",0.958425576,"PY[(:agr,)]",0.95842557
eec,0.967618807,PY,"PY[(:eec,)]",0.967618807,"PY[(:eec,)]",0.96761881
fnd,0.980078178,PY,"PY[(:fnd,)]",0.980078178,"PY[(:fnd,)]",0.98007818
pub,0.979870171,PY,"PY[(:pub,)]",0.979870171,"PY[(:pub,)]",0.97987017
hou,0.982125982,PY,"PY[(:hou,)]",0.982125982,"PY[(:hou,)]",0.98212598
fbt,0.976877322,PY,"PY[(:fbt,)]",0.976877322,"PY[(:fbt,)]",0.97687732
ins,0.971102515,PY,"PY[(:ins,)]",0.971102515,"PY[(:ins,)]",0.97110252
tex,0.956419001,PY,"PY[(:tex,)]",0.956419001,"PY[(:tex,)]",0.956419
