yr,i,j,value,
2011,hou,ppd,#N/A,
2001,hou,ppd,#N/A,
2008,fbt,ppd,#N/A,
2009,fbt,ppd,#N/A,
2005,fbt,ppd,#N/A,
2006,fbt,ppd,#N/A,
2012,fbt,ppd,#N/A,
2014,fbt,ppd,#N/A,
2013,fbt,ppd,#N/A,
1999,fbt,ppd,#N/A,
2002,fbt,ppd,#N/A,
2017,fbt,ppd,#N/A,
2016,fbt,ppd,#N/A,
2015,fbt,ppd,#N/A,
1998,fbt,ppd,#N/A,
2004,fbt,ppd,#N/A,
2000,fbt,ppd,#N/A,
1997,fbt,ppd,#N/A,
2007,fbt,ppd,#N/A,
2010,fbt,ppd,#N/A,
2003,fbt,ppd,#N/A,
2011,fbt,ppd,#N/A,
2001,fbt,ppd,#N/A,
2008,ins,ppd,0.1839313306506750,
2009,ins,ppd,0.1382131705331530,
2005,ins,ppd,0.1959309724013910,
2006,ins,ppd,0.1987385722525340,
2012,ins,ppd,0.2529347220213370,
2014,ins,ppd,0.3073331722462410,
2013,ins,ppd,0.2250501676840640,
1999,ins,ppd,0.1785869533204470,
2002,ins,ppd,0.1895663674974860,
2017,ins,ppd,0.2941662309927810,
2016,ins,ppd,0.3335772630443410,
2015,ins,ppd,0.3211283580871990,
1998,ins,ppd,0.2061651468755580,
2004,ins,ppd,0.1716566657242490,
2000,ins,ppd,0.1916076870335610,
1997,ins,ppd,0.1870787703683430,
2007,ins,ppd,0.2444433360128530,
2010,ins,ppd,0.1374935723100310,
2003,ins,ppd,0.1930053620280950,
2011,ins,ppd,0.1200329218586620,
2001,ins,ppd,0.1977841674650740,
2008,tex,ppd,2.9712561396883900,
2009,tex,ppd,2.7123053900496500,
2005,tex,ppd,1.7566677474245400,
2006,tex,ppd,1.8702730074286300,
2012,tex,ppd,3.9346259278663800,
2014,tex,ppd,3.8578159447952500,
2013,tex,ppd,4.0290866908096200,
1999,tex,ppd,1.5537416838854100,
2002,tex,ppd,1.5041643318243600,
2017,tex,ppd,3.8707548436511900,
2016,tex,ppd,3.4975235846342900,
2015,tex,ppd,3.4578114793209300,
1998,tex,ppd,1.7256938937961800,
2004,tex,ppd,1.6068197490691800,
2000,tex,ppd,1.5799097232752200,
1997,tex,ppd,1.5439051532909200,
2007,tex,ppd,2.5692098373188200,
2010,tex,ppd,3.0977332970049200,
2003,tex,ppd,1.4188227703623100,
2011,tex,ppd,3.0688643303160800,
2001,tex,ppd,1.4962593245131300,
2008,leg,ppd,0.2535386626125230,
2009,leg,ppd,0.2630131718928840,
2005,leg,ppd,0.2514992321419800,
2006,leg,ppd,0.2895453442837830,
2012,leg,ppd,0.3788241323105610,
2014,leg,ppd,0.3466984830444490,
2013,leg,ppd,0.3611993281631520,
1999,leg,ppd,0.2573372346861750,
2002,leg,ppd,0.2443485594791950,
2017,leg,ppd,0.8853782942907220,
2016,leg,ppd,0.3446303291433150,
2015,leg,ppd,0.3291216773188980,
1998,leg,ppd,0.2734748822549780,
2004,leg,ppd,0.2376985263788770,
2000,leg,ppd,0.2094614046199700,
1997,leg,ppd,0.2402152592783140,
2007,leg,ppd,0.3140974005088660,
2010,leg,ppd,0.3562991378320190,
2003,leg,ppd,0.2793456729222510,
2011,leg,ppd,0.3440410275664550,
2001,leg,ppd,0.2162513489559700,
2008,fen,ppd,#N/A,
2009,fen,ppd,#N/A,
2005,fen,ppd,#N/A,
2006,fen,ppd,#N/A,
2012,fen,ppd,#N/A,
2014,fen,ppd,#N/A,
2013,fen,ppd,#N/A,
1999,fen,ppd,#N/A,
2002,fen,ppd,#N/A,
2017,fen,ppd,#N/A,
2016,fen,ppd,#N/A,
2015,fen,ppd,#N/A,
1998,fen,ppd,#N/A,
2004,fen,ppd,#N/A,
2000,fen,ppd,#N/A,
1997,fen,ppd,#N/A,
2007,fen,ppd,#N/A,
2010,fen,ppd,#N/A,
2003,fen,ppd,#N/A,
2011,fen,ppd,#N/A,
2001,fen,ppd,#N/A,
2008,uti,ppd,8.8916028294387500,
2009,uti,ppd,5.3545088330769900,
2005,uti,ppd,6.2595431714861500,
2006,uti,ppd,5.1255741806804100,
2012,uti,ppd,6.2456298869913000,
2014,uti,ppd,6.5201136840050500,
2013,uti,ppd,5.9265354855804100,
1999,uti,ppd,4.5848172937034100,
2002,uti,ppd,5.6560669971080600,
2017,uti,ppd,4.3292893225998500,
2016,uti,ppd,4.7166928816639300,
2015,uti,ppd,5.4577714864518700,
1998,uti,ppd,3.9411578211216300,
2004,uti,ppd,4.8302968042252500,
2000,uti,ppd,6.2841580005360200,
1997,uti,ppd,3.4656399172787800,
2007,uti,ppd,6.5450235249937800,
2010,uti,ppd,5.9899785631060900,
2003,uti,ppd,5.5336281709064400,
2011,uti,ppd,6.0043978021154500,
2001,uti,ppd,8.9294856397200000,
2008,nmp,ppd,0.4839171981400950,
2009,nmp,ppd,0.4066287851667820,
2005,nmp,ppd,0.3108973277226720,
2006,nmp,ppd,0.3370474463507200,
2012,nmp,ppd,0.6389404676160410,
2014,nmp,ppd,0.5677368286275980,
2013,nmp,ppd,0.6090738707576830,
1999,nmp,ppd,0.3045761646064840,
2002,nmp,ppd,0.2538752776030350,
2017,nmp,ppd,0.5471505937297420,
2016,nmp,ppd,0.5880716394456650,
2015,nmp,ppd,0.6344655359888570,
