yr,m,i,value
2014,trd,con,0.000000000009182
2013,trd,con,0.000000000006750
1999,trd,con,0.000000000003953
2002,trd,con,0.000000000016277
2017,trd,con,0.000000000005593
2016,trd,con,0.000000000007585
2015,trd,con,0.000000000016592
1998,trd,con,0.000000000001379
2004,trd,con,0.000000000024232
2000,trd,con,0.000000000008975
1997,trd,con,0.000000000003714
2007,trd,con,0.000000000001362
2010,trd,con,0.000000000000419
2003,trd,con,0.000000000018956
2011,trd,con,0.000000000000811
2001,trd,con,0.000000000005320
2008,trn,agr,40.679781850460800
2009,trn,agr,39.846334295002300
2005,trn,agr,32.827129285403600
2006,trn,agr,35.054417135431900
2012,trn,agr,50.212023788256500
2014,trn,agr,50.585993204505100
2013,trn,agr,48.953218729893700
1999,trn,agr,21.535829322558300
2002,trn,agr,17.835628237875600
2017,trn,agr,59.049809357128000
2016,trn,agr,61.009857258216100
2015,trn,agr,58.698702463538700
1998,trn,agr,21.826039526226700
2004,trn,agr,28.604421620221900
2000,trn,agr,21.920221091254200
1997,trn,agr,21.620837873322300
2007,trn,agr,36.050606851194300
2010,trn,agr,41.561093024012200
2003,trn,agr,21.815415075366300
2011,trn,agr,44.423644694822800
2001,trn,agr,20.238740835308800
2008,trd,agr,63.403478411745400
2009,trd,agr,59.269963890510800
2005,trd,agr,52.771836717799600
2006,trd,agr,57.017274568434600
2012,trd,agr,74.662714736236200
2014,trd,agr,84.923265476531600
2013,trd,agr,81.583932317141200
1999,trd,agr,41.647919947242300
2002,trd,agr,47.164037419122800
2017,trd,agr,90.287037975238000
2016,trd,agr,85.429296383423600
2015,trd,agr,85.181846110428100
1998,trd,agr,38.326734984851500
2004,trd,agr,51.402216803281000
2000,trd,agr,43.918845445592900
1997,trd,agr,38.067043783283000
2007,trd,agr,62.333902698416200
2010,trd,agr,67.610556664839600
2003,trd,agr,49.563957793507600
2011,trd,agr,73.166073956324700
2001,trd,agr,45.374331101170400
2008,trn,eec,7.362993896934160
2009,trn,eec,5.295381492823410
2005,trn,eec,6.590329746016430
2006,trn,eec,7.086903585490360
2012,trn,eec,6.930027857629690
2014,trn,eec,8.324058531426790
2013,trn,eec,7.430362241152570
1999,trn,eec,4.357195465298780
2002,trn,eec,4.372068053466380
2017,trn,eec,7.988404419516680
2016,trn,eec,7.375929528605320
2015,trn,eec,7.469119346061270
1998,trn,eec,3.894462606930670
2004,trn,eec,5.575899065560880
2000,trn,eec,5.655185509100330
1997,trn,eec,3.508923718257790
2007,trn,eec,6.701872320761790
2010,trn,eec,5.106511763374990
2003,trn,eec,4.467606988259000
2011,trn,eec,6.016628019511300
2001,trn,eec,4.199267891007960
2008,trd,eec,65.252139830256700
2009,trd,eec,57.204500066002800
2005,trd,eec,58.671964286495600
2006,trd,eec,65.355209612482400
2012,trd,eec,79.983740654118600
2014,trd,eec,92.421250636939000
2013,trd,eec,86.389118045002100
1999,trd,eec,41.615926135072600
2002,trd,eec,45.142943523107100
2017,trd,eec,105.518906400995000
2016,trd,eec,99.615500680360900
2015,trd,eec,96.643875966073800
1998,trd,eec,37.609675365454900
2004,trd,eec,55.263533372738700
2000,trd,eec,45.752643560369100
1997,trd,eec,35.283178520654100
2007,trd,eec,67.577418516537400
2010,trd,eec,67.672788978481200
2003,trd,eec,48.069701610361800
2011,trd,eec,72.875396419741000
2001,trd,eec,42.385396122255200
2008,trn,fnd,0.000000000002238
2009,trn,fnd,0.000000000000955
2005,trn,fnd,0.000000000028573
2006,trn,fnd,0.000000000068583
2012,trn,fnd,0.000000000001796
2014,trn,fnd,0.000000000009243
2013,trn,fnd,0.000000000006801
1999,trn,fnd,0.000000000003989
2002,trn,fnd,0.000000000016429
2017,trn,fnd,0.000000000005620
2016,trn,fnd,0.000000000007621
2015,trn,fnd,0.000000000016686
1998,trn,fnd,0.000000000001390
2004,trn,fnd,0.000000000024540
2000,trn,fnd,0.000000000009047
1997,trn,fnd,0.000000000003737
2007,trn,fnd,0.000000000001378
2010,trn,fnd,0.000000000000424
2003,trn,fnd,0.000000000019120
2011,trn,fnd,0.000000000000817
2001,trn,fnd,0.000000000005374
2008,trd,fnd,0.000000000002218
2009,trd,fnd,0.000000000000946
2005,trd,fnd,0.000000000028141
2006,trd,fnd,0.000000000067537
2012,trd,fnd,0.000000000001779
2014,trd,fnd,0.000000000009172
2013,trd,fnd,0.000000000006742
1999,trd,fnd,0.000000000003957
2002,trd,fnd,0.000000000016295
2017,trd,fnd,0.000000000005594
2016,trd,fnd,0.000000000007579
2015,trd,fnd,0.000000000016573
1998,trd,fnd,0.000000000001381
2004,trd,fnd,0.000000000024256
2000,trd,fnd,0.000000000008982
1997,trd,fnd,0.000000000003719
2007,trd,fnd,0.000000000001362
2010,trd,fnd,0.000000000000419
2003,trd,fnd,0.000000000018975
2011,trd,fnd,0.000000000000811
2001,trd,fnd,0.000000000005327
2008,trn,pub,5.047054910763810
2009,trn,pub,3.901806463806520
2005,trn,pub,4.179462321261190
2006,trn,pub,4.389827284627470
2012,trn,pub,4.334913921152170
2014,trn,pub,4.432801097185280
2013,trn,pub,4.230654224219980
1999,trn,pub,3.033226531525380
2002,trn,pub,3.582328176275790
2017,trn,pub,4.420374607368980
2016,trn,pub,3.889398310880450
2015,trn,pub,3.795316049144600
1998,trn,pub,2.751109719545910
2004,trn,pub,3.893019739876800
2000,trn,pub,3.534076385403860
1997,trn,pub,2.621632853697160
2007,trn,pub,4.743602885393380
2010,trn,pub,3.726969839952020
2003,trn,pub,3.721884025709980
2011,trn,pub,3.902808169500390
2001,trn,pub,3.492017228739250
2008,trd,pub,54.193978133999800
2009,trd,pub,52.445450989675300
2005,trd,pub,45.528448474897200
2006,trd,pub,46.534993260009700
2012,trd,pub,70.075518694088400
2014,trd,pub,80.773544293636400
2013,trd,pub,76.807564328477800
1999,trd,pub,32.341720814486400
2002,trd,pub,35.110001424033000
2017,trd,pub,93.356368431835900
2016,trd,pub,89.528215269524500
2015,trd,pub,85.098998933720700
1998,trd,pub,30.018633621926100
2004,trd,pub,41.697986801733800
2000,trd,pub,34.533678106120000
1997,trd,pub,27.405874107733400
2007,trd,pub,49.376399284395200
2010,trd,pub,62.210692618509500
2003,trd,pub,37.893849321427800
2011,trd,pub,69.511281826134900
2001,trd,pub,32.994417650848300
2008,trn,hou,0.000000000002238
2009,trn,hou,0.000000000000954
2005,trn,hou,0.000000000028498
2006,trn,hou,0.000000000068417
2012,trn,hou,0.000000000001793
2014,trn,hou,0.000000000009240
2013,trn,hou,0.000000000006796
1999,trn,hou,0.000000000003986
2002,trn,hou,0.000000000016422
2017,trn,hou,0.000000000005619
2016,trn,hou,0.000000000007619
2015,trn,hou,0.000000000016676
1998,trn,hou,0.000000000001388
2004,trn,hou,0.000000000024499
2000,trn,hou,0.000000000009042
1997,trn,hou,0.000000000003732
2007,trn,hou,0.000000000001377
2010,trn,hou,0.000000000000423
2003,trn,hou,0.000000000019117
2011,trn,hou,0.000000000000816
2001,trn,hou,0.000000000005371
2008,trd,hou,0.000000000002218
2009,trd,hou,0.000000000000944
2005,trd,hou,0.000000000028066
2006,trd,hou,0.000000000067370
2012,trd,hou,0.000000000001777
2014,trd,hou,0.000000000009169
2013,trd,hou,0.000000000006737
1999,trd,hou,0.000000000003955
2002,trd,hou,0.000000000016287
2017,trd,hou,0.000000000005593
2016,trd,hou,0.000000000007577
2015,trd,hou,0.000000000016563
1998,trd,hou,0.000000000001380
2004,trd,hou,0.000000000024214
2000,trd,hou,0.000000000008978
1997,trd,hou,0.000000000003714
2007,trd,hou,0.000000000001361
2010,trd,hou,0.000000000000418
2003,trd,hou,0.000000000018971
2011,trd,hou,0.000000000000810
2001,trd,hou,0.000000000005323
2008,trn,fbt,#N/A
2009,trn,fbt,#N/A
2005,trn,fbt,#N/A
2006,trn,fbt,#N/A
2012,trn,fbt,#N/A
2014,trn,fbt,#N/A
2013,trn,fbt,#N/A
1999,trn,fbt,#N/A
2002,trn,fbt,#N/A
2017,trn,fbt,#N/A
2016,trn,fbt,#N/A
2015,trn,fbt,#N/A
1998,trn,fbt,#N/A
2004,trn,fbt,#N/A
2000,trn,fbt,#N/A
1997,trn,fbt,#N/A
2007,trn,fbt,#N/A
2010,trn,fbt,#N/A
2003,trn,fbt,#N/A
2011,trn,fbt,#N/A
2001,trn,fbt,#N/A
2008,trd,fbt,#N/A
2009,trd,fbt,#N/A
2005,trd,fbt,#N/A
2006,trd,fbt,#N/A
2012,trd,fbt,#N/A
2014,trd,fbt,#N/A
2013,trd,fbt,#N/A
1999,trd,fbt,#N/A
2002,trd,fbt,#N/A
2017,trd,fbt,#N/A
2016,trd,fbt,#N/A
2015,trd,fbt,#N/A
1998,trd,fbt,#N/A
2004,trd,fbt,#N/A
2000,trd,fbt,#N/A
1997,trd,fbt,#N/A
2007,trd,fbt,#N/A
2010,trd,fbt,#N/A
2003,trd,fbt,#N/A
2011,trd,fbt,#N/A
2001,trd,fbt,#N/A
2008,trn,ins,0.000000000002242
2009,trn,ins,0.000000000000958
2005,trn,ins,0.000000000028561
2006,trn,ins,0.000000000068565
2012,trn,ins,0.000000000001797
2014,trn,ins,0.000000000009250
2013,trn,ins,0.000000000006807
1999,trn,ins,0.000000000003975
2002,trn,ins,0.000000000016398
2017,trn,ins,0.000000000005615
2016,trn,ins,0.000000000007622
2015,trn,ins,0.000000000016701
1998,trn,ins,0.000000000001385
2004,trn,ins,0.000000000024545
2000,trn,ins,0.000000000009019
1997,trn,ins,0.000000000003725
2007,trn,ins,0.000000000001377
2010,trn,ins,0.000000000000424
2003,trn,ins,0.000000000019094
2011,trn,ins,0.000000000000818
2001,trn,ins,0.000000000005360
2008,trd,ins,0.000000000002222
2009,trd,ins,0.000000000000948
2005,trd,ins,0.000000000028129
2006,trd,ins,0.000000000067517
2012,trd,ins,0.000000000001780
2014,trd,ins,0.000000000009179
2013,trd,ins,0.000000000006748
1999,trd,ins,0.000000000003944
2002,trd,ins,0.000000000016264
2017,trd,ins,0.000000000005589
2016,trd,ins,0.000000000007580
2015,trd,ins,0.000000000016587
1998,trd,ins,0.000000000001376
2004,trd,ins,0.000000000024260
2000,trd,ins,0.000000000008955
1997,trd,ins,0.000000000003707
2007,trd,ins,0.000000000001362
2010,trd,ins,0.000000000000419
2003,trd,ins,0.000000000018949
2011,trd,ins,0.000000000000811
2001,trd,ins,0.000000000005312
2008,trn,tex,3.972214856571800
2009,trn,tex,2.916794181434700
2005,trn,tex,3.733730359805220
2006,trn,tex,3.654857277711780
2012,trn,tex,4.180802126466840
2014,trn,tex,4.556006443899920
2013,trn,tex,4.262861692306030
1999,trn,tex,2.573854589064470
2002,trn,tex,3.346088530775880
2017,trn,tex,4.355544633612590
2016,trn,tex,3.836077978390730
2015,trn,tex,3.891595610262410
1998,trn,tex,2.638091320609240
2004,trn,tex,3.542510153150860
2000,trn,tex,1.612575088394960
1997,trn,tex,3.077473483262870
2007,trn,tex,3.803615354539480
2010,trn,tex,3.414873296904370
2003,trn,tex,3.484512162358860
2011,trn,tex,3.912474629968640
2001,trn,tex,3.541896739137390
2008,trd,tex,52.319095122368900
2009,trd,tex,46.803399332057300
2005,trd,tex,54.503330091235500
2006,trd,tex,55.266329478318300
2012,trd,tex,55.591884067925700
2014,trd,tex,62.277526809510100
2013,trd,tex,58.471819061255500
1999,trd,tex,39.155882360141400
2002,trd,tex,44.064911737137100
2017,trd,tex,69.164604030554200
2016,trd,tex,65.854890009795800
2015,trd,tex,64.364727650129500
1998,trd,tex,36.165756634549700
2004,trd,tex,52.029754884265700
2000,trd,tex,42.002436052395300
1997,trd,tex,35.272284755009000
2007,trd,tex,55.507611514047000
2010,trd,tex,49.407914427096900
2003,trd,tex,46.389978033355700
2011,trd,tex,51.587010711616300
2001,trd,tex,42.759496017418900
2008,trn,leg,0.000000000002225
2009,trn,leg,0.000000000000951
2005,trn,leg,0.000000000028449
2006,trn,leg,0.000000000068238
2012,trn,leg,0.000000000001783
2014,trn,leg,0.000000000009173
2013,trn,leg,0.000000000006749
1999,trn,leg,0.000000000003955
2002,trn,leg,0.000000000016321
2017,trn,leg,0.000000000005577
2016,trn,leg,0.000000000007582
2015,trn,leg,0.000000000016612
1998,trn,leg,0.000000000001378
2004,trn,leg,0.000000000024449
2000,trn,leg,0.000000000008986
1997,trn,leg,0.000000000003712
2007,trn,leg,0.000000000001370
2010,trn,leg,0.000000000000422
2003,trn,leg,0.000000000019007
2011,trn,leg,0.000000000000813
2001,trn,leg,0.000000000005335
2008,trd,leg,0.000000000002206
2009,trd,leg,0.000000000000941
2005,trd,leg,0.000000000028018
2006,trd,leg,0.000000000067196
2012,trd,leg,0.000000000001766
2014,trd,leg,0.000000000009103
2013,trd,leg,0.000000000006691
1999,trd,leg,0.000000000003924
2002,trd,leg,0.000000000016187
2017,trd,leg,0.000000000005552
2016,trd,leg,0.000000000007540
2015,trd,leg,0.000000000016499
1998,trd,leg,0.000000000001369
2004,trd,leg,0.000000000024166
2000,trd,leg,0.000000000008922
1997,trd,leg,0.000000000003694
2007,trd,leg,0.000000000001355
2010,trd,leg,0.000000000000417
2003,trd,leg,0.000000000018862
2011,trd,leg,0.000000000000807
2001,trd,leg,0.000000000005288
2008,trn,fen,0.000000000002225
2009,trn,fen,0.000000000000949
2005,trn,fen,0.000000000028488
2006,trn,fen,0.000000000068315
2012,trn,fen,0.000000000001781
2014,trn,fen,0.000000000009159
2013,trn,fen,0.000000000006743
1999,trn,fen,0.000000000003936
2002,trn,fen,0.000000000016237
2017,trn,fen,0.000000000005535
2016,trn,fen,0.000000000007553
2015,trn,fen,0.000000000016582
1998,trn,fen,0.000000000001369
2004,trn,fen,0.000000000024409
2000,trn,fen,0.000000000008939
1997,trn,fen,0.000000000003696
2007,trn,fen,0.000000000001368
2010,trn,fen,0.000000000000422
2003,trn,fen,0.000000000018912
2011,trn,fen,0.000000000000812
2001,trn,fen,0.000000000005295
2008,trd,fen,0.000000000002206
2009,trd,fen,0.000000000000939
2005,trd,fen,0.000000000028061
2006,trd,fen,0.000000000067278
2012,trd,fen,0.000000000001765
2014,trd,fen,0.000000000009089
2013,trd,fen,0.000000000006685
1999,trd,fen,0.000000000003905
2002,trd,fen,0.000000000016104
2017,trd,fen,0.000000000005509
2016,trd,fen,0.000000000007512
2015,trd,fen,0.000000000016470
1998,trd,fen,0.000000000001360
2004,trd,fen,0.000000000024127
2000,trd,fen,0.000000000008875
1997,trd,fen,0.000000000003679
2007,trd,fen,0.000000000001352
2010,trd,fen,0.000000000000417
2003,trd,fen,0.000000000018769
2011,trd,fen,0.000000000000806
2001,trd,fen,0.000000000005248
2008,trn,uti,0.000000000002233
2009,trn,uti,0.000000000000952
2005,trn,uti,0.000000000028483
2006,trn,uti,0.000000000068357
2012,trn,uti,0.000000000001788
2014,trn,uti,0.000000000009212
2013,trn,uti,0.000000000006776
1999,trn,uti,0.000000000003969
2002,trn,uti,0.000000000016358
2017,trn,uti,0.000000000005606
2016,trn,uti,0.000000000007604
2015,trn,uti,0.000000000016647
1998,trn,uti,0.000000000001383
2004,trn,uti,0.000000000024464
2000,trn,uti,0.000000000009005
1997,trn,uti,0.000000000003721
2007,trn,uti,0.000000000001373
2010,trn,uti,0.000000000000422
2003,trn,uti,0.000000000019046
2011,trn,uti,0.000000000000815
2001,trn,uti,0.000000000005350
2008,trd,uti,0.000000000002213
2009,trd,uti,0.000000000000943
2005,trd,uti,0.000000000028053
2006,trd,uti,0.000000000067313
2012,trd,uti,0.000000000001772
2014,trd,uti,0.000000000009141
2013,trd,uti,0.000000000006718
1999,trd,uti,0.000000000003937
2002,trd,uti,0.000000000016224
2017,trd,uti,0.000000000005580
2016,trd,uti,0.000000000007562
2015,trd,uti,0.000000000016534
1998,trd,uti,0.000000000001374
2004,trd,uti,0.000000000024180
2000,trd,uti,0.000000000008941
1997,trd,uti,0.000000000003703
2007,trd,uti,0.000000000001358
2010,trd,uti,0.000000000000417
2003,trd,uti,0.000000000018901
2011,trd,uti,0.000000000000809
2001,trd,uti,0.000000000005302
2008,trn,nmp,18.662896753984800
2009,trn,nmp,15.208368936079300
2005,trn,nmp,17.338887984805300
2006,trn,nmp,19.691583994665300
2012,trn,nmp,17.469483839262300
2014,trn,nmp,20.742562324356400
2013,trn,nmp,17.988959929735200
1999,trn,nmp,11.807129115306500
2002,trn,nmp,14.092137582265100
2017,trn,nmp,26.101126380003000
2016,trn,nmp,24.161303151347600
2015,trn,nmp,24.012138562902500
1998,trn,nmp,10.687367395312200
2004,trn,nmp,15.251909740638600
2000,trn,nmp,12.724453488915900
1997,trn,nmp,9.681548355302830
2007,trn,nmp,21.144496679008500
2010,trn,nmp,14.236175403128300
2003,trn,nmp,14.822423088351300
2011,trn,nmp,15.863640775997000
2001,trn,nmp,13.289924534202000
2008,trd,nmp,31.804844494230500
2009,trd,nmp,25.897575088659300
2005,trd,nmp,33.469952134459200
2006,trd,nmp,36.340866367915100
2012,trd,nmp,30.479105777784300
2014,trd,nmp,35.966406135642100
2013,trd,nmp,33.113055093808700
1999,trd,nmp,23.599717688319500
2002,trd,nmp,25.945420038917400
2017,trd,nmp,45.600911147728800
2016,trd,nmp,41.493577048745200
2015,trd,nmp,38.455312337926400
1998,trd,nmp,22.322129329223600
2004,trd,nmp,30.378455716067400
2000,trd,nmp,25.380550145380400
1997,trd,nmp,20.242216713851900
2007,trd,nmp,37.023389267653300
2010,trd,nmp,27.725364093290400
2003,trd,nmp,27.740238194481100
2011,trd,nmp,29.403541947555300
2001,trd,nmp,25.386311280766400
2008,trn,brd,0.000000000002231
2009,trn,brd,0.000000000000952
2005,trn,brd,0.000000000028463
2006,trn,brd,0.000000000068269
2012,trn,brd,0.000000000001788
2014,trn,brd,0.000000000009207
2013,trn,brd,0.000000000006773
1999,trn,brd,0.000000000003973
2002,trn,brd,0.000000000016371
2017,trn,brd,0.000000000005608
2016,trn,brd,0.000000000007602
2015,trn,brd,0.000000000016644
1998,trn,brd,0.000000000001385
2004,trn,brd,0.000000000024467
2000,trn,brd,0.000000000009014
1997,trn,brd,0.000000000003725
2007,trn,brd,0.000000000001372
2010,trn,brd,0.000000000000422
2003,trn,brd,0.000000000019052
2011,trn,brd,0.000000000000815
2001,trn,brd,0.000000000005352
2008,trd,brd,0.000000000002211
2009,trd,brd,0.000000000000942
2005,trd,brd,0.000000000028032
2006,trd,brd,0.000000000067226
2012,trd,brd,0.000000000001771
