yr,i,value
2003,fen,88.9668546950139
2011,fen,98.1263728001738
2001,fen,85.5718305347049
2008,uti,495.2989005712580
2009,uti,406.7167240369870
2005,uti,391.3865646235000
2006,uti,394.4113941139310
2012,uti,427.7783554982390
2014,uti,504.7420095568580
2013,uti,458.5031181085760
1999,uti,296.7643057579890
2002,uti,304.3601270085360
2017,uti,453.6414194805790
2016,uti,444.6226898867860
2015,uti,481.6578230852930
1998,uti,250.7580837978200
2004,uti,329.0289261140940
2000,uti,354.4893327684130
1997,uti,244.9744848967870
2007,uti,422.6969932942920
2010,uti,463.7947517076590
2003,uti,321.1263025128230
2011,uti,453.0499107327470
2001,uti,433.1108272541090
2008,nmp,113.8005404162770
2009,nmp,89.7474210370807
2005,nmp,112.4552146521300
2006,nmp,124.9546122007330
2012,nmp,99.0467024035751
2014,nmp,112.8605645245180
2013,nmp,105.6641318320290
1999,nmp,94.9988333327206
2002,nmp,94.5504673444944
2017,nmp,127.8285844258950
2016,nmp,123.6156079143240
2015,nmp,118.1942990268480
1998,nmp,91.0266909590309
2004,nmp,101.6570300260610
2000,nmp,97.0340866732741
1997,nmp,85.3253714658086
2007,nmp,127.5451668602650
2010,nmp,91.7901144062477
2003,nmp,95.8395657933590
2011,nmp,93.4547572710305
2001,nmp,93.8502478858253
2008,brd,640.6065607803410
2009,brd,634.3948812252800
2005,brd,574.8270787786480
2006,brd,599.4830139104470
2012,brd,702.0077083763910
2014,brd,760.5175513277500
2013,brd,720.5031974954160
1999,brd,478.4694963343040
2002,brd,545.2572182082870
2017,brd,814.4752018653280
2016,brd,822.0386012005890
2015,brd,783.9892420590010
1998,brd,422.2171713728330
2004,brd,552.6865365017280
2000,brd,533.2940763616720
1997,brd,381.0145611428160
2007,brd,619.9083209130910
2010,brd,656.6273138071130
2003,brd,542.1593816072110
2011,brd,678.5026509060270
2001,brd,549.6062398774710
2008,bnk,693.5289368258930
2009,bnk,688.5956978932320
2005,bnk,669.7044842058480
2006,bnk,696.0134592948380
2012,bnk,748.1258499890330
2014,bnk,807.8192671927740
2013,bnk,762.4185269276360
1999,bnk,477.4446663152470
2002,bnk,585.3183775059900
2017,bnk,922.9629796921190
2016,bnk,862.7600718553320
2015,bnk,815.9202849907010
1998,bnk,429.2830983664130
2004,bnk,630.2404645202330
2000,bnk,524.5561299208740
1997,bnk,393.0998000571220
2007,bnk,712.9494168567120
2010,bnk,683.9772870602650
2003,bnk,613.1994764356600
2011,bnk,674.6676672737840
2001,bnk,555.0656301269810
2008,ore,814.3998647449990
2009,ore,757.5080911830370
2005,ore,891.3462280737340
2006,ore,901.1534493721740
2012,ore,889.7356357901800
2014,ore,1032.3387614670500
2013,ore,964.5006121315990
1999,ore,444.8768687897160
2002,ore,584.3401010925110
2017,ore,1278.0534520245400
2016,ore,1192.4870752617600
2015,ore,1097.7371986088900
1998,ore,416.7861610148220
2004,ore,757.6623591354620
2000,ore,497.7387657783640
1997,ore,398.6093136471420
2007,ore,884.2114205810560
2010,ore,804.3570379033010
2003,ore,648.9731413836740
2011,ore,824.0850734713390
2001,ore,520.7691278584290
2008,edu,256.4461384313330
2009,edu,272.5969135064090
2005,edu,194.4001936746660
2006,edu,212.7607253935090
2012,edu,308.4351959424250
2014,edu,328.9282270598110
2013,edu,318.5817988900340
1999,edu,129.2799218121420
2002,edu,165.5947225134640
2017,edu,363.7778605511880
2016,edu,352.1561144594130
2015,edu,340.6979542194080
1998,edu,121.1440495369110
2004,edu,184.6352336387720
2000,edu,140.9234388089980
1997,edu,112.4672983446900
2007,edu,235.8496248421440
2010,edu,292.0285792944190
2003,edu,175.9142750626040
2011,edu,305.4301614750610
2001,edu,154.8425774122490
2008,ote,268.7746822703670
2009,ote,247.5135858172370
2005,ote,205.6266857452130
2006,ote,213.4715349172890
2012,ote,289.8488631010400
2014,ote,324.3413740289780
2013,ote,305.3266396421600
1999,ote,180.0053683793590
2002,ote,175.5292500978600
2017,ote,319.3505931283420
2016,ote,316.1593384234010
2015,ote,332.5131411439270
1998,ote,183.6901510478320
