yr,i,m,value,
2005,rnt,trn,2.8020006698449900E-11,
2006,rnt,trn,6.7109544645286900E-11,
2012,rnt,trn,1.7697171141084800E-12,
2014,rnt,trn,9.1523225485224900E-12,
2013,rnt,trn,6.7175240039951200E-12,
1999,rnt,trn,3.9435692775754700E-12,
2002,rnt,trn,1.6253867060500700E-11,
2017,rnt,trn,5.5859763600337500E-12,
2016,rnt,trn,7.5747861554502600E-12,
2015,rnt,trn,1.6585978294426500E-11,
1998,rnt,trn,1.3783823763305300E-12,
2004,rnt,trn,2.4196826888496600E-11,
2000,rnt,trn,8.9614178631996000E-12,
1997,rnt,trn,3.7187106778838200E-12,
2007,rnt,trn,1.3551192197062200E-12,
2010,rnt,trn,4.1696513752398200E-13,
2003,rnt,trn,1.8932217909183100E-11,
2011,rnt,trn,8.0842984456077500E-13,
2001,rnt,trn,5.3076854753029200E-12,
2008,pla,trn,2.2076534524547600E-12,
2009,pla,trn,9.4183336220767300E-13,
2005,pla,trn,2.7949804665983600E-11,
2006,pla,trn,6.6996436614387500E-11,
2012,pla,trn,1.7683382031621700E-12,
2014,pla,trn,9.1431499584056400E-12,
2013,pla,trn,6.7123360998191700E-12,
1999,pla,trn,3.9375574699086300E-12,
2002,pla,trn,1.6216612471144300E-11,
2017,pla,trn,5.5740892663210200E-12,
2016,pla,trn,7.5664758611741400E-12,
2015,pla,trn,1.6562379269131000E-11,
1998,pla,trn,1.3757237102802400E-12,
2004,pla,trn,2.4157752953835200E-11,
2000,pla,trn,8.9479914457731500E-12,
1997,pla,trn,3.7115189012334800E-12,
2007,pla,trn,1.3536445184795600E-12,
2010,pla,trn,4.1617747981772700E-13,
2003,pla,trn,1.8899337209726600E-11,
2011,pla,trn,8.0719676002394300E-13,
2001,pla,trn,5.2953826782721300E-12,
2008,fof,trn,2.1949302285283000E-12,
2009,fof,trn,9.3458665787859800E-13,
2005,fof,trn,2.7709741119860900E-11,
2006,fof,trn,6.6435295524410400E-11,
2012,fof,trn,1.7544707661438100E-12,
2014,fof,trn,9.0705720190898800E-12,
2013,fof,trn,6.6600292639399300E-12,
1999,fof,trn,3.9018611079392300E-12,
2002,fof,trn,1.6090075609004400E-11,
2017,fof,trn,5.5249309627896700E-12,
2016,fof,trn,7.5160965663091600E-12,
2015,fof,trn,1.6451056447302700E-11,
1998,fof,trn,1.3641149008091100E-12,
2004,fof,trn,2.3962559611574400E-11,
2000,fof,trn,8.8757967573179700E-12,
1997,fof,trn,3.6906793317239300E-12,
2007,fof,trn,1.3431589985382000E-12,
2010,fof,trn,4.1309759182805600E-13,
2003,fof,trn,1.8747800630194900E-11,
2011,fof,trn,8.0194956559657700E-13,
2001,fof,trn,5.2460330206328700E-12,
2008,fin,trn,2.1978425488541200E-12,
2009,fin,trn,9.3986467306592800E-13,
2005,fin,trn,2.7886384167324300E-11,
2006,fin,trn,6.6778235980608300E-11,
2012,fin,trn,1.7596811536537800E-12,
2014,fin,trn,9.1146176201282600E-12,
2013,fin,trn,6.6816797388184000E-12,
1999,fin,trn,3.9243794010006700E-12,
2002,fin,trn,1.6195149385034800E-11,
2017,fin,trn,5.5598112206589600E-12,
2016,fin,trn,7.5567759638688300E-12,
2015,fin,trn,1.6540283559997600E-11,
1998,fin,trn,1.3702859482488300E-12,
2004,fin,trn,2.4121419941281200E-11,
2000,fin,trn,8.9272754421659300E-12,
1997,fin,trn,3.6974360654948100E-12,
2007,fin,trn,1.3503026397158200E-12,
2010,fin,trn,4.1465522252437400E-13,
2003,fin,trn,1.8879591383508200E-11,
2011,fin,trn,8.0417734618122600E-13,
2001,fin,trn,5.2815067625382400E-12,
2008,tsv,trn,2.2038111152681500E-12,
2009,tsv,trn,9.4447292204685000E-13,
2005,tsv,trn,2.8018113788512200E-11,
2006,tsv,trn,6.7121778804225400E-11,
2012,tsv,trn,1.7676121446830700E-12,
2014,tsv,trn,9.1549887134248000E-12,
2013,tsv,trn,6.7173023496771700E-12,
1999,tsv,trn,3.9390963855349600E-12,
2002,tsv,trn,1.6238815315162200E-11,
2017,tsv,trn,5.5765785564763200E-12,
2016,tsv,trn,7.5733454385249600E-12,
2015,tsv,trn,1.6582101610096100E-11,
1998,tsv,trn,1.3758216132646100E-12,
2004,tsv,trn,2.4220573025287800E-11,
2000,tsv,trn,8.9545302986804100E-12,
1997,tsv,trn,3.7129212121482600E-12,
2007,tsv,trn,1.3545335997508700E-12,
2010,tsv,trn,4.1706512910433600E-13,
2003,tsv,trn,1.8928909609839500E-11,
2011,tsv,trn,8.0735267790909000E-13,
2001,tsv,trn,5.2978377644462400E-12,
2008,nrs,trn,2.2059099197742500E-12,
2009,nrs,trn,9.3931683822661900E-13,
2005,nrs,trn,2.7882808468634800E-11,
2006,nrs,trn,6.6825081391950400E-11,
2012,nrs,trn,1.7630173549665000E-12,
2014,nrs,trn,9.1075611961106800E-12,
2013,nrs,trn,6.6873645829475800E-12,
1999,nrs,trn,3.9174581721039100E-12,
2002,nrs,trn,1.6158568557681700E-11,
2017,nrs,trn,5.5511220977764300E-12,
2016,nrs,trn,7.5423966739930900E-12,
2015,nrs,trn,1.6510244343669100E-11,
1998,nrs,trn,1.3681691554362200E-12,
2004,nrs,trn,2.4093865301345000E-11,
2000,nrs,trn,8.9087607942282000E-12,
1997,nrs,trn,3.6952692266358800E-12,
2007,nrs,trn,1.3507018117556200E-12,
2010,nrs,trn,4.1522155978593400E-13,
2003,nrs,trn,1.8836784393155000E-11,
2011,nrs,trn,8.0612982348454000E-13,
2001,nrs,trn,5.2682466073865300E-12,
2008,sec,trn,2.2123006552963000E-12,
2009,sec,trn,9.4283401013639400E-13,
2005,sec,trn,2.8009448341350700E-11,
2006,sec,trn,6.7115745354970100E-11,
2012,sec,trn,1.7686192171740400E-12,
2014,sec,trn,9.1492054213602100E-12,
2013,sec,trn,6.7149477277902700E-12,
1999,sec,trn,3.9414905310210100E-12,
2002,sec,trn,1.6249355164225100E-11,
2017,sec,trn,5.5803337525866500E-12,
2016,sec,trn,7.5756894840894400E-12,
2015,sec,trn,1.6584277806167300E-11,
1998,sec,trn,1.3775413084322300E-12,
2004,sec,trn,2.4178637089689900E-11,
2000,sec,trn,8.9592751544525200E-12,
1997,sec,trn,3.7166505696792200E-12,
2007,sec,trn,1.3557925715596600E-12,
2010,sec,trn,4.1675806707212100E-13,
2003,sec,trn,1.8932507316234700E-11,
2011,sec,trn,8.0824893085774200E-13,
2001,sec,trn,5.3040050621098100E-12,
2008,art,trn,2.2111984877548700E-12,
2009,art,trn,9.4219406787206800E-13,
2005,art,trn,2.7957956004118700E-11,
2006,art,trn,6.7009835988216100E-11,
2012,art,trn,1.7701617178396600E-12,
2014,art,trn,9.1490425286220400E-12,
2013,art,trn,6.7159625877910700E-12,
1999,art,trn,3.9398332798983700E-12,
2002,art,trn,1.6237020256457700E-11,
2017,art,trn,5.5821004424447900E-12,
2016,art,trn,7.5714003548146100E-12,
2015,art,trn,1.6570303393841600E-11,
1998,art,trn,1.3765336097220000E-12,
2004,art,trn,2.4161578625920300E-11,
2000,art,trn,8.9557071862558700E-12,
1997,art,trn,3.7126880590065000E-12,
2007,art,trn,1.3541209488546400E-12,
2010,art,trn,4.1639413489003200E-13,
2003,art,trn,1.8921185225751600E-11,
2011,art,trn,8.0839354390978600E-13,
2001,art,trn,5.3013112782225700E-12,
2008,mov,trn,2.2075404583441800E-12,
2009,mov,trn,9.4013166863030700E-13,
2005,mov,trn,2.7858336557501800E-11,
2006,mov,trn,6.6807186428414200E-11,
2012,mov,trn,1.7652944026243400E-12,
2014,mov,trn,9.1136455619352100E-12,
2013,mov,trn,6.6938235311818800E-12,
1999,mov,trn,3.9186229013216000E-12,
2002,mov,trn,1.6158742402925600E-11,
2017,mov,trn,5.5562808426843600E-12,
2016,mov,trn,7.5489940769138000E-12,
2015,mov,trn,1.6524293394336200E-11,
1998,mov,trn,1.3673764834723900E-12,
2004,mov,trn,2.4082129680992800E-11,
2000,mov,trn,8.9080435361976100E-12,
1997,mov,trn,3.6940849468001000E-12,
2007,mov,trn,1.3503816591034900E-12,
2010,mov,trn,4.1577956886816900E-13,
2003,mov,trn,1.8830036180125600E-11,
2011,mov,trn,8.0708079727755800E-13,
2001,mov,trn,5.2708474008440200E-12,
2008,fpd,trn,2.1976830647476600E-12,
2009,fpd,trn,9.3608308403272900E-13,
2005,fpd,trn,2.7779232294034600E-11,
2006,fpd,trn,6.6552020749876300E-11,
2012,fpd,trn,1.7564767430543900E-12,
2014,fpd,trn,9.0717234885356600E-12,
2013,fpd,trn,6.6601845480092300E-12,
1999,fpd,trn,3.9124322288135600E-12,
2002,fpd,trn,1.6122779123098500E-11,
2017,fpd,trn,5.5274437427024000E-12,
2016,fpd,trn,7.5178775494357200E-12,
2015,fpd,trn,1.6459625709808700E-11,
1998,fpd,trn,1.3670980253048300E-12,
2004,fpd,trn,2.4027932688888800E-11,
2000,fpd,trn,8.8960729198217400E-12,
1997,fpd,trn,3.6948168853644000E-12,
2007,fpd,trn,1.3454901992198500E-12,
2010,fpd,trn,4.1404309750422800E-13,
2003,fpd,trn,1.8786379066603700E-11,
2011,fpd,trn,8.0348268091517000E-13,
2001,fpd,trn,5.2563714303919400E-12,
2008,slg,trn,2.2139536112940100E-12,
2009,slg,trn,9.4385459445188700E-13,
2005,slg,trn,2.7977823065786500E-11,
2006,slg,trn,6.7125538262660500E-11,
2012,slg,trn,1.7707979060901300E-12,
2014,slg,trn,9.1494371436505300E-12,
2013,slg,trn,6.7162975550727100E-12,
1999,slg,trn,3.9359719784551700E-12,
2002,slg,trn,1.6221796077413100E-11,
2017,slg,trn,5.5798423164285300E-12,
2016,slg,trn,7.5741473113640700E-12,
2015,slg,trn,1.6562812012576400E-11,
1998,slg,trn,1.3755809823490500E-12,
2004,slg,trn,2.4150820929844200E-11,
2000,slg,trn,8.9466751334118600E-12,
1997,slg,trn,3.7113623242027200E-12,
2007,slg,trn,1.3560514839828700E-12,
2010,slg,trn,4.1739324109120900E-13,
2003,slg,trn,1.8904537363611200E-11,
2011,slg,trn,8.0889069349973500E-13,
2001,slg,trn,5.2934910715681500E-12,
2008,pri,trn,2.2055632343205600E-12,
2009,pri,trn,9.3865491526680200E-13,
2005,pri,trn,2.7839583935327400E-11,
2006,pri,trn,6.6733709144348700E-11,
2012,pri,trn,1.7627682846208000E-12,
2014,pri,trn,9.1143507842771600E-12,
2013,pri,trn,6.6896517779963900E-12,
1999,pri,trn,3.9353176254439700E-12,
2002,pri,trn,1.6202595254375500E-11,
2017,pri,trn,5.5629277253790000E-12,
2016,pri,trn,7.5515969532395800E-12,
2015,pri,trn,1.6527460438800700E-11,
1998,pri,trn,1.3747783294693200E-12,
2004,pri,trn,2.4086810121723900E-11,
2000,pri,trn,8.9411431646671700E-12,
1997,pri,trn,3.7098574209531900E-12,
2007,pri,trn,1.3503472053763100E-12,
2010,pri,trn,4.1460642056215700E-13,
2003,pri,trn,1.8880704243357600E-11,
2011,pri,trn,8.0569102019235300E-13,
2001,pri,trn,5.2872962819383900E-12,
2008,grd,trn,2.1968437808917600E-12,
2009,grd,trn,9.3530176346079000E-13,
2005,grd,trn,2.7592607978552700E-11,
2006,grd,trn,6.6168531670137900E-11,
2012,grd,trn,1.7494670313532500E-12,
2014,grd,trn,9.0848671865715000E-12,
2013,grd,trn,6.6539898242151900E-12,
1999,grd,trn,3.9115945758686300E-12,
2002,grd,trn,1.6112168830564100E-11,
2017,grd,trn,5.5541456443371000E-12,
2016,grd,trn,7.5447450397144900E-12,
2015,grd,trn,1.6505230330425600E-11,
1998,grd,trn,1.3685534783198800E-12,
2004,grd,trn,2.3952474861068500E-11,
2000,grd,trn,8.8896043545759400E-12,
1997,grd,trn,3.6992461921081400E-12,
2007,grd,trn,1.3414922861715300E-12,
2010,grd,trn,4.1142435925516100E-13,
2003,grd,trn,1.8799169204310400E-11,
2011,grd,trn,8.0115637021841700E-13,
2001,grd,trn,5.2567010618784500E-12,
2008,pip,trn,3.0122744210085200E+01,
2009,pip,trn,2.6921448816658000E+01,
2005,pip,trn,2.1348437458146000E+01,
2006,pip,trn,2.2590566050963500E+01,
2012,pip,trn,3.7810983552515000E+01,
2014,pip,trn,4.3859715210148300E+01,
2013,pip,trn,4.0552965038681100E+01,
1999,pip,trn,2.1916640240879200E+01,
2002,pip,trn,2.0553574552624300E+01,
2017,pip,trn,4.7474194718615600E+01,
2016,pip,trn,4.4971350907435600E+01,
2015,pip,trn,4.4634871275657700E+01,
1998,pip,trn,2.2202724464511800E+01,
2004,pip,trn,2.1363630597894300E+01,
2000,pip,trn,2.1122984564777300E+01,
1997,pip,trn,2.2346112913799600E+01,
2007,pip,trn,2.3980455627933700E+01,
2010,pip,trn,3.1231790816590300E+01,
2003,pip,trn,2.0801434793809000E+01,
2011,pip,trn,3.5676737815142700E+01,
2001,pip,trn,2.0955436537184800E+01,
2008,sle,trn,2.2120518698434500E-12,
2009,sle,trn,9.4148004211349700E-13,
2005,sle,trn,2.7917366541084800E-11,
2006,sle,trn,6.6924653618615600E-11,
2012,sle,trn,1.7701467046715500E-12,
2014,sle,trn,9.1467763404028800E-12,
2013,sle,trn,6.7144883325048200E-12,
1999,sle,trn,3.9346010637683500E-12,
2002,sle,trn,1.6209983091689500E-11,
2017,sle,trn,5.5834085289068300E-12,
2016,sle,trn,7.5707835556941400E-12,
2015,sle,trn,1.6558877434158300E-11,
1998,sle,trn,1.3746947117135900E-12,
2004,sle,trn,2.4127589601654000E-11,
2000,sle,trn,8.9427458166093500E-12,
1997,sle,trn,3.7097779269004400E-12,
2007,sle,trn,1.3543208348006600E-12,
2010,sle,trn,4.1607778752138700E-13,
2003,sle,trn,1.8894862489552100E-11,
2011,sle,trn,8.0824170055816400E-13,
2001,sle,trn,5.2906217143681700E-12,
2008,osv,trn,2.2079511893760700E-12,
2009,osv,trn,9.4279380497156500E-13,
2005,osv,trn,2.7975362580173800E-11,
2006,osv,trn,6.6989129242999900E-11,
2012,osv,trn,1.7657361963870000E-12,
2014,osv,trn,9.1362536430575600E-12,
2013,osv,trn,6.7036361273977000E-12,
1999,osv,trn,3.9372356910438200E-12,
2002,osv,trn,1.6232304693724300E-11,
2017,osv,trn,5.5782926267204400E-12,
2016,osv,trn,7.5705540835540800E-12,
2015,osv,trn,1.6578572335511400E-11,
1998,osv,trn,1.3763935776928900E-12,
2004,osv,trn,2.4195093521249400E-11,
2000,osv,trn,8.9512340412348800E-12,
1997,osv,trn,3.7137455155092100E-12,
2007,osv,trn,1.3533220007113700E-12,
2010,osv,trn,4.1626013809000600E-13,
2003,osv,trn,1.8918277888056100E-11,
2011,osv,trn,8.0706723931872000E-13,
2001,osv,trn,5.2980715023343800E-12,
2008,trn,trn,5.7072557163467900E+01,
2009,trn,trn,4.4816436931384100E+01,
2005,trn,trn,4.2701452872061300E+01,
2006,trn,trn,4.8483603092333400E+01,
2012,trn,trn,6.6583218703506000E+01,
2014,trn,trn,7.4245341018510800E+01,
2013,trn,trn,6.9706057414452300E+01,
1999,trn,trn,3.1434109687657200E+01,
2002,trn,trn,3.2428216291735000E+01,
2017,trn,trn,6.6604766223565900E+01,
2016,trn,trn,6.2495101170480000E+01,
2015,trn,trn,6.8326684181639900E+01,
1998,trn,trn,3.1464239325828000E+01,
2004,trn,trn,3.7259336218483600E+01,
2000,trn,trn,3.2021057816965700E+01,
1997,trn,trn,3.1955295359861600E+01,
2007,trn,trn,5.0869724681217800E+01,
2010,trn,trn,5.4665484410435400E+01,
2003,trn,trn,3.3722136548743900E+01,
2011,trn,trn,6.3372903320062500E+01,
2001,trn,trn,3.2151770082282500E+01,
2008,smn,trn,2.1959240427972400E-12,
2009,smn,trn,9.3690866209924500E-13,
2005,smn,trn,2.7690481090648000E-11,
2006,smn,trn,6.6409472209324000E-11,
2012,smn,trn,1.7591012340203800E-12,
2014,smn,trn,9.1052381809004600E-12,
2013,smn,trn,6.6813493718771300E-12,
1999,smn,trn,3.8842914935646300E-12,
2002,smn,trn,1.6051740564772500E-11,
2017,smn,trn,5.5257135466820400E-12,
2016,smn,trn,7.5235405464965600E-12,
2015,smn,trn,1.6502926793721100E-11,
1998,smn,trn,1.3575770425675700E-12,
2004,smn,trn,2.3913762256263700E-11,
2000,smn,trn,8.8412071848954700E-12,
1997,smn,trn,3.6729804011565300E-12,
2007,smn,trn,1.3432605664342200E-12,
2010,smn,trn,4.1394970196789200E-13,
2003,smn,trn,1.8739680431051800E-11,
2011,smn,trn,8.0439727073304600E-13,
2001,smn,trn,5.2430446516948100E-12,
2008,fmt,trn,2.2103891997174000E-12,
2009,fmt,trn,9.4190431252601200E-13,
2005,fmt,trn,2.7977315210715400E-11,
2006,fmt,trn,6.7082748310102000E-11,
2012,fmt,trn,1.7704571399938900E-12,
2014,fmt,trn,9.1501600310680800E-12,
2013,fmt,trn,6.7177195448479300E-12,
1999,fmt,trn,3.9364279521746100E-12,
2002,fmt,trn,1.6214502398849900E-11,
2017,fmt,trn,5.5802892258794500E-12,
2016,fmt,trn,7.5708451549672700E-12,
2015,fmt,trn,1.6571668685403100E-11,
1998,fmt,trn,1.3756860853878400E-12,
2004,fmt,trn,2.4163934234433100E-11,
2000,fmt,trn,8.9473741907043200E-12,
1997,fmt,trn,3.7116510554144100E-12,
2007,fmt,trn,1.3551226632525900E-12,
2010,fmt,trn,4.1619592970513000E-13,
2003,fmt,trn,1.8900126276971700E-11,
2011,fmt,trn,8.0741732332284900E-13,
2001,fmt,trn,5.2953034408353200E-12,
2008,pet,trn,2.2002423591263300E-12,
2009,pet,trn,9.4003683258214700E-13,
2005,pet,trn,2.7837682908846200E-11,
2006,pet,trn,6.6761447360361500E-11,
2012,pet,trn,1.7647258927344300E-12,
2014,pet,trn,9.1368478088978800E-12,
2013,pet,trn,6.7012570979259700E-12,
1999,pet,trn,3.9328418273947300E-12,
2002,pet,trn,1.6208457126759700E-11,
2017,pet,trn,5.5760757480226200E-12,
2016,pet,trn,7.5685635490740500E-12,
2015,pet,trn,1.6572706615406800E-11,
1998,pet,trn,1.3758923127812200E-12,
2004,pet,trn,2.4091250957933900E-11,
2000,pet,trn,8.9364443382672500E-12,
1997,pet,trn,3.7091917272028400E-12,
2007,pet,trn,1.3499782757790400E-12,
2010,pet,trn,4.1513590679843900E-13,
2003,pet,trn,1.8888339374732300E-11,
2011,pet,trn,8.0484098145407700E-13,
2001,pet,trn,5.2915239271781400E-12,
2008,mvt,trn,2.2056943608911900E-12,
2009,mvt,trn,9.3937995302470000E-13,
2005,mvt,trn,2.7846530019012400E-11,
2006,mvt,trn,6.6768089994920000E-11,
2012,mvt,trn,1.7643771941282700E-12,
2014,mvt,trn,9.1141366794015300E-12,
2013,mvt,trn,6.6923196751276100E-12,
1999,mvt,trn,3.9263034538783400E-12,
2002,mvt,trn,1.6179509716086700E-11,
2017,mvt,trn,5.5614463756266400E-12,
2016,mvt,trn,7.5483631238547900E-12,
2015,mvt,trn,1.6512723445718500E-11,
1998,mvt,trn,1.3721012164588500E-12,
2004,mvt,trn,2.4077327683079600E-11,
2000,mvt,trn,8.9244488909346200E-12,
1997,mvt,trn,3.7024952935162000E-12,
2007,mvt,trn,1.3506860612447600E-12,
2010,mvt,trn,4.1502713732144500E-13,
2003,mvt,trn,1.8855472760928300E-11,
2011,mvt,trn,8.0614008744202800E-13,
2001,mvt,trn,5.2810632975283900E-12,
2008,cep,trn,2.2059497289853700E-12,
2009,cep,trn,9.3930695218714400E-13,
2005,cep,trn,2.7875175804943300E-11,
2006,cep,trn,6.6834166405799800E-11,
2012,cep,trn,1.7651716445949400E-12,
2014,cep,trn,9.1213891546593100E-12,
2013,cep,trn,6.6973882247694300E-12,
1999,cep,trn,3.9352036975835800E-12,
2002,cep,trn,1.6190661540331700E-11,
2017,cep,trn,5.5718162472987500E-12,
2016,cep,trn,7.5535477925166800E-12,
2015,cep,trn,1.6521718645347900E-11,
1998,cep,trn,1.3758684820051400E-12,
2004,cep,trn,2.4091978356742600E-11,
2000,cep,trn,8.9432032812401600E-12,
1997,cep,trn,3.7129209128653200E-12,
2007,cep,trn,1.3509550050398200E-12,
2010,cep,trn,4.1521596374083600E-13,
2003,cep,trn,1.8872427102651700E-11,
2011,cep,trn,8.0561447121926500E-13,
2001,cep,trn,5.2874348694464300E-12,
2008,wst,trn,2.2034921006904000E-12,
2009,wst,trn,9.3867215714305000E-13,
2005,wst,trn,2.7771192343312000E-11,
2006,wst,trn,6.6612988569537500E-11,
2012,wst,trn,1.7601342402067800E-12,
2014,wst,trn,9.1004785388429000E-12,
2013,wst,trn,6.6777528188215600E-12,
1999,wst,trn,3.9272938772190000E-12,
2002,wst,trn,1.6190899742721600E-11,
2017,wst,trn,5.5657930340979400E-12,
2016,wst,trn,7.5512570430175600E-12,
2015,wst,trn,1.6519859690990600E-11,
1998,wst,trn,1.3749108985440400E-12,
2004,wst,trn,2.4068035494239100E-11,
2000,wst,trn,8.9254328421410900E-12,
1997,wst,trn,3.7121044642000100E-12,
2007,wst,trn,1.3478827999322500E-12,
2010,wst,trn,4.1428264266709900E-13,
2003,wst,trn,1.8877950043600300E-11,
2011,wst,trn,8.0495116178759200E-13,
2001,wst,trn,5.2837994710082600E-12,
2008,mot,trn,2.2031807065370000E-12,
2009,mot,trn,9.4002318495326100E-13,
2005,mot,trn,2.7907979667791300E-11,
2006,mot,trn,6.6849046182902800E-11,
2012,mot,trn,1.7643206512901300E-12,
2014,mot,trn,9.1316981040959100E-12,
2013,mot,trn,6.6993595535189600E-12,
1999,mot,trn,3.9349327528006700E-12,
2002,mot,trn,1.6209750078124900E-11,
2017,mot,trn,5.5803824104538700E-12,
2016,mot,trn,7.5640472280149600E-12,
2015,mot,trn,1.6550746204039400E-11,
1998,mot,trn,1.3765603195469300E-12,
2004,mot,trn,2.4135072682323000E-11,
2000,mot,trn,8.9442406338079500E-12,
1997,mot,trn,3.7131391660835600E-12,
2007,mot,trn,1.3512304848950800E-12,
2010,mot,trn,4.1555038663260700E-13,
2003,mot,trn,1.8893600177100600E-11,
2011,mot,trn,8.0676930896313600E-13,
2001,mot,trn,5.2907339514523700E-12,
2008,adm,trn,2.2126733077557200E-12,
2009,adm,trn,9.4196976277334900E-13,
2005,adm,trn,2.8004452288166100E-11,
2006,adm,trn,6.7152472330426900E-11,
2012,adm,trn,1.7707007713672700E-12,
2014,adm,trn,9.1420079360845800E-12,
2013,adm,trn,6.7138919441600500E-12,
1999,adm,trn,3.9387824495277100E-12,
2002,adm,trn,1.6231019977633500E-11,
2017,adm,trn,5.5737649501285900E-12,
2016,adm,trn,7.5625172205436700E-12,
2015,adm,trn,1.6545166359243200E-11,
1998,adm,trn,1.3762206902513200E-12,
2004,adm,trn,2.4155664289808000E-11,
2000,adm,trn,8.9489285069256000E-12,
1997,adm,trn,3.7109635094989500E-12,
2007,adm,trn,1.3559872543239900E-12,
2010,adm,trn,4.1673753295861500E-13,
2003,adm,trn,1.8906431122687100E-11,
2011,adm,trn,8.0823010422162400E-13,
2001,adm,trn,5.2991568704452400E-12,
2008,soc,trn,2.2045212438637200E-12,
2009,soc,trn,9.3913128540253500E-13,
2005,soc,trn,2.7878938085599600E-11,
2006,soc,trn,6.6818677421908300E-11,
2012,soc,trn,1.7614956939301800E-12,
2014,soc,trn,9.0973627976335300E-12,
2013,soc,trn,6.6800121297891400E-12,
1999,soc,trn,3.9103210722572900E-12,
2002,soc,trn,1.6125877721287300E-11,
2017,soc,trn,5.5346642943668400E-12,
2016,soc,trn,7.5327280443223500E-12,
2015,soc,trn,1.6503203989908000E-11,
1998,soc,trn,1.3653361364171400E-12,
2004,soc,trn,2.4084406478680700E-11,
2000,soc,trn,8.8933556115407400E-12,
1997,soc,trn,3.6906411920894500E-12,
2007,soc,trn,1.3492911022540400E-12,
2010,soc,trn,4.1521693016965400E-13,
2003,soc,trn,1.8808499164809600E-11,
2011,soc,trn,8.0545304219967900E-13,
2001,soc,trn,5.2534862279000600E-12,
2008,alt,trn,2.1957920678695500E-12,
2009,alt,trn,9.3403643918662900E-13,
2005,alt,trn,2.7710852365092100E-11,
2006,alt,trn,6.6502943058951500E-11,
2012,alt,trn,1.7553685069501100E-12,
2014,alt,trn,9.0609326972246100E-12,
2013,alt,trn,6.6553231231497500E-12,
1999,alt,trn,3.9175294807201900E-12,
2002,alt,trn,1.6113025836706000E-11,
2017,alt,trn,5.5274791507655400E-12,
2016,alt,trn,7.5020512636388000E-12,
2015,alt,trn,1.6416116566477400E-11,
1998,alt,trn,1.3703205102542100E-12,
2004,alt,trn,2.3951269025632300E-11,
2000,alt,trn,8.9034975675334600E-12,
1997,alt,trn,3.7019592630629700E-12,
2007,alt,trn,1.3437667608806700E-12,
2010,alt,trn,4.1360152686504600E-13,
2003,alt,trn,1.8774085063632300E-11,
2011,alt,trn,8.0256866971155400E-13,
2001,alt,trn,5.2632462111896200E-12,
2008,pmt,trn,2.1992380482658200E-12,
2009,pmt,trn,9.3730806298734400E-13,
2005,pmt,trn,2.7812818375685200E-11,
2006,pmt,trn,6.6628454099814500E-11,
2012,pmt,trn,1.7603275847789400E-12,
2014,pmt,trn,9.1062990036035100E-12,
2013,pmt,trn,6.6815669928764800E-12,
1999,pmt,trn,3.9169262373618700E-12,
2002,pmt,trn,1.6133431635091000E-11,
2017,pmt,trn,5.5524962305086000E-12,
2016,pmt,trn,7.5419137776139000E-12,
2015,pmt,trn,1.6509594162370800E-11,
1998,pmt,trn,1.3689571874763500E-12,
2004,pmt,trn,2.4055964180585900E-11,
2000,pmt,trn,8.9015082203777200E-12,
1997,pmt,trn,3.6996865765041300E-12,
2007,pmt,trn,1.3477321926922000E-12,
2010,pmt,trn,4.1418778649187800E-13,
2003,pmt,trn,1.8817553101076700E-11,
2011,pmt,trn,8.0446088459961600E-13,
2001,pmt,trn,5.2629781867101600E-12,
2008,trk,trn,2.2918772842996100E+02,
2009,trk,trn,1.8777730226612100E+02,
2005,trk,trn,1.9900738225715900E+02,
2006,trk,trn,2.1466239444530000E+02,
2012,trk,trn,2.5114373251174900E+02,
2014,trk,trn,2.8121377657680700E+02,
2013,trk,trn,2.5985206871939300E+02,
1999,trk,trn,1.3881627983595900E+02,
2002,trk,trn,1.5180015293982300E+02,
2017,trk,trn,2.8899134433169600E+02,
2016,trk,trn,2.7645609556796600E+02,
2015,trk,trn,2.8070446477606400E+02,
1998,trk,trn,1.3125242406592500E+02,
2004,trk,trn,1.7685240008725800E+02,
2000,trk,trn,1.4833535641853800E+02,
1997,trk,trn,1.2331120204232000E+02,
2007,trk,trn,2.2264580770387600E+02,
2010,trk,trn,2.0619508424214200E+02,
2003,trk,trn,1.5840531050375500E+02,
2011,trk,trn,2.3043577565906700E+02,
2001,trk,trn,1.4889489272170900E+02,
2008,fdd,trn,2.2118361025066900E-12,
2009,fdd,trn,9.4300296185498700E-13,
2005,fdd,trn,2.7948768314553500E-11,
2006,fdd,trn,6.6967413602597500E-11,
2012,fdd,trn,1.7690952763045200E-12,
2014,fdd,trn,9.1423518955141100E-12,
2013,fdd,trn,6.7108901199355100E-12,
1999,fdd,trn,3.9324299542651600E-12,
2002,fdd,trn,1.6210284545856600E-11,
2017,fdd,trn,5.5779384142846500E-12,
2016,fdd,trn,7.5685908449188100E-12,
2015,fdd,trn,1.6568072126757800E-11,
1998,fdd,trn,1.3746014469196100E-12,
2004,fdd,trn,2.4158199968356900E-11,
2000,fdd,trn,8.9387145605161900E-12,
1997,fdd,trn,3.7096212594230600E-12,
2007,fdd,trn,1.3541567350265400E-12,
2010,fdd,trn,4.1679411839665600E-13,
2003,fdd,trn,1.8896831348812400E-11,
2011,fdd,trn,8.0890756154263900E-13,
2001,fdd,trn,5.2902119977063100E-12,
2008,gmt,trn,2.2048587737429400E-12,
