yr,i,m,value,
2001,fnd,trn,5.2884977566103100E-12,
2008,pub,trn,2.2095034664113400E-12,
2009,pub,trn,9.4201258637310800E-13,
2005,pub,trn,2.7916048889481900E-11,
2006,pub,trn,6.6901744598936600E-11,
2012,pub,trn,1.7687875855686900E-12,
2014,pub,trn,9.1398770553105500E-12,
2013,pub,trn,6.7102746953046700E-12,
1999,pub,trn,3.9332094575126600E-12,
2002,pub,trn,1.6201254079719300E-11,
2017,pub,trn,5.5741756586389400E-12,
2016,pub,trn,7.5653888013986900E-12,
2015,pub,trn,1.6558578168140800E-11,
1998,pub,trn,1.3742687743894000E-12,
2004,pub,trn,2.4130805337860400E-11,
2000,pub,trn,8.9374302594000100E-12,
1997,pub,trn,3.7089225187953900E-12,
2007,pub,trn,1.3533736633232700E-12,
2010,pub,trn,4.1650271793815900E-13,
2003,pub,trn,1.8883499454881100E-11,
2011,pub,trn,8.0814829350116700E-13,
2001,pub,trn,5.2874503405119000E-12,
2008,hou,trn,2.2126003091643800E-12,
2009,hou,trn,9.4510861955432500E-13,
2005,hou,trn,2.8070061813753300E-11,
2006,hou,trn,6.7258714423427200E-11,
2012,hou,trn,1.7720888647465000E-12,
2014,hou,trn,9.1490687415287700E-12,
2013,hou,trn,6.7182952238169900E-12,
1999,hou,trn,3.9368390400173800E-12,
2002,hou,trn,1.6218636215511700E-11,
2017,hou,trn,5.5798243754687500E-12,
2016,hou,trn,7.5750242540517900E-12,
2015,hou,trn,1.6589429573057300E-11,
1998,hou,trn,1.3761631592428000E-12,
2004,hou,trn,2.4215234334898100E-11,
2000,hou,trn,8.9466130483591300E-12,
1997,hou,trn,3.7141485645627300E-12,
2007,hou,trn,1.3558395009265900E-12,
2010,hou,trn,4.1815375282626200E-13,
2003,hou,trn,1.8897620835782600E-11,
2011,hou,trn,8.0986667038240900E-13,
2001,hou,trn,5.2945242698638900E-12,
2008,fbt,trn,2.2061628007906400E-12,
2009,fbt,trn,9.3931336028501300E-13,
2005,fbt,trn,2.7872335166216600E-11,
2006,fbt,trn,6.6820722204985900E-11,
2012,fbt,trn,1.7642841965057200E-12,
2014,fbt,trn,9.1143369133011800E-12,
2013,fbt,trn,6.6923476084947300E-12,
1999,fbt,trn,3.9257943460085600E-12,
2002,fbt,trn,1.6178273084091800E-11,
2017,fbt,trn,5.5587304973173800E-12,
2016,fbt,trn,7.5460714396258700E-12,
2015,fbt,trn,1.6511765202039200E-11,
1998,fbt,trn,1.3716761192027500E-12,
2004,fbt,trn,2.4084976587092500E-11,
2000,fbt,trn,8.9237196274050100E-12,
1997,fbt,trn,3.7021533211073700E-12,
2007,fbt,trn,1.3510218948857500E-12,
2010,fbt,trn,4.1523219000055400E-13,
2003,fbt,trn,1.8854462153396200E-11,
2011,fbt,trn,8.0622453900403100E-13,
2001,fbt,trn,5.2788024199262300E-12,
2008,ins,trn,2.2105081248212400E-12,
2009,ins,trn,9.4080540079776900E-13,
2005,ins,trn,2.7979433535498000E-11,
2006,ins,trn,6.7055759993430600E-11,
2012,ins,trn,1.7688277791123300E-12,
2014,ins,trn,9.1384769050690800E-12,
2013,ins,trn,6.7070416224569900E-12,
1999,ins,trn,3.9444301394746200E-12,
2002,ins,trn,1.6236500158488700E-11,
2017,ins,trn,5.5823742993009200E-12,
2016,ins,trn,7.5697373056170300E-12,
2015,ins,trn,1.6561975120374200E-11,
1998,ins,trn,1.3785763992251300E-12,
2004,ins,trn,2.4156607617279000E-11,
2000,ins,trn,8.9631738529818500E-12,
1997,ins,trn,3.7186844260895800E-12,
2007,ins,trn,1.3554457137922000E-12,
2010,ins,trn,4.1643738170227600E-13,
2003,ins,trn,1.8916158965215300E-11,
2011,ins,trn,8.0811162125554700E-13,
2001,ins,trn,5.3019246119805000E-12,
