yr,i,fd,value
2011,bnk,fed_structures,-9.97E-09
2001,bnk,fed_structures,-9.99E-09
2008,ore,fed_structures,-9.97E-09
2009,ore,fed_structures,-9.97E-09
2005,ore,fed_structures,-9.97E-09
2006,ore,fed_structures,-9.97E-09
2012,ore,fed_structures,-9.99E-09
2014,ore,fed_structures,-9.99E-09
2013,ore,fed_structures,-9.99E-09
1999,ore,fed_structures,-9.97E-09
2002,ore,fed_structures,-9.99E-09
2017,ore,fed_structures,-9.99E-09
2016,ore,fed_structures,-9.97E-09
2015,ore,fed_structures,-9.97E-09
1998,ore,fed_structures,-9.97E-09
2004,ore,fed_structures,-9.97E-09
2000,ore,fed_structures,-9.99E-09
1997,ore,fed_structures,-9.97E-09
2007,ore,fed_structures,-9.97E-09
2010,ore,fed_structures,-9.97E-09
2003,ore,fed_structures,-9.99E-09
2011,ore,fed_structures,-9.97E-09
2001,ore,fed_structures,-9.99E-09
2008,edu,fed_structures,-9.97E-09
2009,edu,fed_structures,-9.97E-09
2005,edu,fed_structures,-9.97E-09
2006,edu,fed_structures,-9.97E-09
2012,edu,fed_structures,-9.99E-09
2014,edu,fed_structures,-9.99E-09
2013,edu,fed_structures,-9.99E-09
1999,edu,fed_structures,-9.97E-09
2002,edu,fed_structures,-9.99E-09
2017,edu,fed_structures,-9.99E-09
2016,edu,fed_structures,-9.97E-09
2015,edu,fed_structures,-9.97E-09
1998,edu,fed_structures,-9.97E-09
2004,edu,fed_structures,-9.97E-09
2000,edu,fed_structures,-9.99E-09
1997,edu,fed_structures,-9.97E-09
2007,edu,fed_structures,-9.97E-09
2010,edu,fed_structures,-9.97E-09
2003,edu,fed_structures,-9.99E-09
2011,edu,fed_structures,-9.97E-09
2001,edu,fed_structures,-9.99E-09
2008,ote,fed_structures,-9.97E-09
2009,ote,fed_structures,-9.97E-09
2005,ote,fed_structures,-9.97E-09
2006,ote,fed_structures,-9.97E-09
2012,ote,fed_structures,-9.99E-09
2014,ote,fed_structures,-9.99E-09
2013,ote,fed_structures,-9.99E-09
1999,ote,fed_structures,-9.97E-09
2002,ote,fed_structures,-9.99E-09
2017,ote,fed_structures,-9.99E-09
2016,ote,fed_structures,-9.97E-09
2015,ote,fed_structures,-9.97E-09
1998,ote,fed_structures,-9.97E-09
2004,ote,fed_structures,-9.97E-09
2000,ote,fed_structures,-9.99E-09
1997,ote,fed_structures,-9.97E-09
2007,ote,fed_structures,-9.97E-09
2010,ote,fed_structures,-9.97E-09
2003,ote,fed_structures,-9.99E-09
2011,ote,fed_structures,-9.97E-09
2001,ote,fed_structures,-9.99E-09
2008,man,fed_structures,-9.97E-09
2009,man,fed_structures,-9.97E-09
2005,man,fed_structures,-9.97E-09
2006,man,fed_structures,-9.97E-09
2012,man,fed_structures,-9.99E-09
2014,man,fed_structures,-9.99E-09
2013,man,fed_structures,-9.99E-09
1999,man,fed_structures,-9.97E-09
2002,man,fed_structures,-9.99E-09
2017,man,fed_structures,-9.99E-09
2016,man,fed_structures,-9.97E-09
2015,man,fed_structures,-9.97E-09
1998,man,fed_structures,-9.97E-09
2004,man,fed_structures,-9.97E-09
2000,man,fed_structures,-9.99E-09
1997,man,fed_structures,-9.97E-09
2007,man,fed_structures,-9.97E-09
2010,man,fed_structures,-9.97E-09
2003,man,fed_structures,-9.99E-09
2011,man,fed_structures,-9.97E-09
2001,man,fed_structures,-9.99E-09
2008,mch,fed_structures,-9.97E-09
2009,mch,fed_structures,-9.97E-09
2005,mch,fed_structures,-9.97E-09
2006,mch,fed_structures,-9.97E-09
2012,mch,fed_structures,-9.99E-09
2014,mch,fed_structures,-9.99E-09
2013,mch,fed_structures,-9.99E-09
1999,mch,fed_structures,-9.97E-09
2002,mch,fed_structures,-9.99E-09
2017,mch,fed_structures,-9.99E-09
2016,mch,fed_structures,-9.97E-09
2015,mch,fed_structures,-9.97E-09
1998,mch,fed_structures,-9.97E-09
2004,mch,fed_structures,-9.97E-09
2000,mch,fed_structures,-9.99E-09
1997,mch,fed_structures,-9.97E-09
2007,mch,fed_structures,-9.97E-09
2010,mch,fed_structures,-9.97E-09
2003,mch,fed_structures,-9.99E-09
2011,mch,fed_structures,-9.97E-09
2001,mch,fed_structures,-9.99E-09
2008,dat,fed_structures,-9.97E-09
2009,dat,fed_structures,-9.97E-09
2005,dat,fed_structures,-9.97E-09
2006,dat,fed_structures,-9.97E-09
2012,dat,fed_structures,-9.99E-09
2014,dat,fed_structures,-9.99E-09
2013,dat,fed_structures,-9.99E-09
1999,dat,fed_structures,-9.97E-09
2002,dat,fed_structures,-9.99E-09
2017,dat,fed_structures,-9.99E-09
2016,dat,fed_structures,-9.97E-09
2015,dat,fed_structures,-9.97E-09
1998,dat,fed_structures,-9.97E-09
2004,dat,fed_structures,-9.97E-09
2000,dat,fed_structures,-9.99E-09
1997,dat,fed_structures,-9.97E-09
2007,dat,fed_structures,-9.97E-09
2010,dat,fed_structures,-9.97E-09
2003,dat,fed_structures,-9.99E-09
2011,dat,fed_structures,-9.97E-09
2001,dat,fed_structures,-9.99E-09
2008,amd,fed_structures,-9.97E-09
2009,amd,fed_structures,-9.97E-09
2005,amd,fed_structures,-9.97E-09
2006,amd,fed_structures,-9.97E-09
2012,amd,fed_structures,-9.99E-09
2014,amd,fed_structures,-9.99E-09
2013,amd,fed_structures,-9.99E-09
1999,amd,fed_structures,-9.97E-09
2002,amd,fed_structures,-9.99E-09
2017,amd,fed_structures,-9.99E-09
2016,amd,fed_structures,-9.97E-09
2015,amd,fed_structures,-9.97E-09
1998,amd,fed_structures,-9.97E-09
2004,amd,fed_structures,-9.97E-09
2000,amd,fed_structures,-9.99E-09
