yr,i,fd,Value
2017,mmf,state_equipment,0.013108034
2017,mmf,fed_equipment,0.001008853
2017,mmf,equipment,76.17573719
2017,mmf,pce,254.9781847
2017,mmf,fed_intelprop,5.61E-12
2017,otr,def_structures,5.65E-12
2017,otr,pce,23.41645087
2017,min,changinv,1.05E-08
2017,min,structures,5.66E-12
2017,min,equipment,0.141605805
2017,min,pce,0.295094576
2016,ppd,changinv,0.085021887
2016,ppd,pce,44.22137235
2016,ppd,fed_intelprop,7.64E-12
2016,res,pce,705.2815895
2016,res,fed_intelprop,7.61E-12
2016,com,def_equipment,0.227536684
2016,com,state_equipment,0.04091671
2016,com,def_intelprop,8.192318056
2016,com,equipment,20.4074445
2016,com,state_intelprop,10.0934468
2016,com,intelprop,193.9590429
2016,com,state_consume,7.62E-12
2016,com,fed_intelprop,20.38349327
2016,amb,pce,991.9086014
2016,amb,fed_intelprop,7.61E-12
2016,fbp,changinv,4.135417566
2016,fbp,pce,1002.239722
2016,fbp,fed_intelprop,7.60E-12
2016,rec,pce,189.7213787
2016,rec,fed_intelprop,7.59E-12
2016,con,fed_structures,13.09909719
2016,con,def_structures,3.360459522
2016,con,state_invest,286.3395295
2016,con,structures,451.8094355
2016,con,residential,525.2029506
2016,con,fed_intelprop,7.59E-12
2016,agr,changinv,3.99E-09
2016,agr,pce,138.5444775
2016,agr,fed_intelprop,7.61E-12
2016,eec,def_equipment,0.289374514
2016,eec,changinv,0.402913812
2016,eec,state_equipment,0.396885177
2016,eec,fed_equipment,0.195930668
2016,eec,residential,8.894246822
2016,eec,equipment,34.34312656
2016,eec,pce,86.74000672
2016,eec,fed_intelprop,7.62E-12
2016,fnd,nondefense,380.234639
2016,fnd,fed_intelprop,7.60E-12
2016,pub,changinv,2.19E-08
2016,pub,def_intelprop,1.483649563
2016,pub,state_intelprop,5.159647316
2016,pub,intelprop,124.8022318
2016,pub,pce,123.647836
2016,pub,state_consume,7.61E-12
2016,pub,fed_intelprop,1.837998882
2016,hou,pce,2037.245423
2016,hou,state_consume,7.60E-12
2016,ins,residential,9.983942323
2016,ins,pce,354.0401964
2016,ins,state_consume,7.61E-12
2016,tex,changinv,0.376144182
2016,tex,state_equipment,0.001008733
2016,tex,fed_equipment,0.015126484
2016,tex,defense,7.64E-12
2016,tex,residential,1.7687852
2016,tex,equipment,3.8874954
2016,tex,pce,73.82106694
2016,leg,def_structures,7.65E-12
2016,leg,residential,23.55345122
2016,leg,pce,98.92090269
2016,fen,pce,6.533597775
2016,fen,fed_intelprop,7.70E-12
2016,uti,pce,259.207437
2016,uti,fed_intelprop,7.62E-12
2016,nmp,changinv,0.727658236
2016,nmp,pce,21.65462581
2016,nmp,fed_intelprop,7.64E-12
2016,brd,equipment,6.669054781
2016,brd,intelprop,28.3830906
2016,brd,pce,336.4310453
2016,brd,fed_intelprop,7.62E-12
2016,bnk,pce,235.912441
2016,bnk,fed_intelprop,7.61E-12
2016,ore,structures,20.89571894
2016,ore,residential,115.9068297
2016,ore,pce,5.966071514
2016,ore,fed_intelprop,7.59E-12
2016,edu,pce,340.6190999
2016,edu,fed_intelprop,7.60E-12
2016,ote,def_equipment,33.21634188
2016,ote,changinv,4.22E-09
2016,ote,state_equipment,0.357133154
2016,ote,fed_equipment,1.139471772
2016,ote,equipment,62.73605977
2016,ote,pce,33.07921065
2016,ote,fed_intelprop,7.59E-12
2016,man,fed_intelprop,7.63E-12
2016,mch,def_equipment,0.086199035
2016,mch,changinv,6.50E-09
2016,mch,state_equipment,4.043335078
2016,mch,fed_equipment,0.12729391
2016,mch,equipment,300.4817391
2016,mch,pce,19.27650475
2016,mch,fed_intelprop,7.61E-12
2016,dat,def_intelprop,0.36899276
2016,dat,state_intelprop,1.167812192
2016,dat,intelprop,11.10668174
2016,dat,pce,49.53378607
2016,dat,state_consume,7.67E-12
2016,dat,fed_intelprop,0.339074429
2016,amd,pce,151.2091422
2016,amd,fed_intelprop,7.62E-12
2016,oil,changinv,1.83223387
2016,oil,state_consume,7.59E-12
2016,hos,state_intelprop,7.60E-12
2016,hos,pce,1038.32409
2016,rnt,pce,99.9718934
2016,rnt,fed_intelprop,7.65E-12
2016,pla,changinv,1.006997336
2016,pla,fed_equipment,0.004020075
2016,pla,residential,0.277376523
2016,pla,equipment,0.326620902
2016,pla,state_intelprop,7.63E-12
2016,pla,pce,66.78844468
2016,fof,changinv,0.927346246
2016,fof,equipment,7.64E-12
2016,fof,pce,8.239617021
2016,fin,pce,157.3541314
2016,fin,fed_intelprop,7.60E-12
2016,tsv,def_intelprop,54.34208608
2016,tsv,residential,2.490367155
2016,tsv,equipment,36.64311858
2016,tsv,state_intelprop,19.02496828
2016,tsv,intelprop,405.4459401
2016,tsv,pce,70.79886324
2016,tsv,state_consume,7.59E-12
2016,tsv,fed_intelprop,70.93056535
2016,nrs,pce,237.9560952
2016,nrs,fed_intelprop,7.59E-12
2016,sec,pce,224.4388334
2016,sec,fed_intelprop,7.61E-12
2016,art,intelprop,4.927306122
2016,art,pce,75.01696369
2016,art,fed_intelprop,7.63E-12
2016,mov,changinv,0.031927019
2016,mov,intelprop,36.52048356
2016,mov,pce,33.67099987
2016,mov,fed_intelprop,7.60E-12
2016,fpd,changinv,0.904639856
2016,fpd,state_equipment,0.162371272
2016,fpd,fed_equipment,0.0070597
2016,fpd,residential,0.785634838
2016,fpd,equipment,41.70016556
2016,fpd,pce,115.010283
2016,fpd,fed_intelprop,7.60E-12
2016,slg,state_consume,1703.296376
2016,slg,fed_intelprop,7.60E-12
2016,pri,changinv,1.35E-08
2016,pri,pce,12.40220606
2016,pri,fed_intelprop,7.69E-12
2016,grd,def_structures,7.64E-12
2016,grd,pce,42.73904021
2016,pip,def_intelprop,7.52E-12
2016,sle,state_invest,7.63E-12
2016,sle,pce,70.14336228
2016,osv,pce,601.611361
2016,osv,state_consume,7.62E-12
2016,trn,defense,7.63E-12
2016,trn,pce,1.458554465
2016,smn,changinv,1.77E-07
2016,smn,structures,74.5674215
2016,smn,equipment,1.636091088
2016,smn,fed_intelprop,7.59E-12
2016,fmt,def_equipment,0.293386376
2016,fmt,changinv,1.196575786
2016,fmt,state_equipment,0.33343912
2016,fmt,fed_equipment,0.157207045
2016,fmt,equipment,14.76644605
2016,fmt,pce,41.59878177
2016,fmt,fed_intelprop,7.63E-12
2016,pet,changinv,5.341674677
2016,pet,pce,276.2738627
2016,pet,fed_intelprop,7.62E-12
2016,cep,def_equipment,13.42695573
2016,cep,changinv,5.81E-09
2016,cep,state_equipment,3.035546273
2016,cep,fed_equipment,2.510413805
2016,cep,residential,0.476026579
2016,cep,equipment,267.2102489
2016,cep,pce,157.3453211
2016,cep,fed_intelprop,7.61E-12
2016,wst,fed_structures,7.67E-12
2016,wst,pce,24.49605311
2016,mot,def_equipment,24.3177198
2016,mot,changinv,10.4910006
2016,mot,state_equipment,33.22668835
2016,mot,nondefense,7.60E-12
2016,mot,fed_equipment,15.19192452
2016,mot,equipment,329.2282978
2016,mot,pce,328.6139554
2016,adm,defense,7.61E-12
2016,adm,pce,59.48066318
2016,soc,intelprop,7.58E-12
2016,soc,pce,197.4987533
2016,alt,changinv,0.548093302
2016,alt,structures,7.59E-12
2016,alt,pce,392.8577285
2016,pmt,changinv,7.89E-09
2016,pmt,pce,0.946533057
2016,pmt,fed_intelprop,7.60E-12
2016,trk,pce,11.61190609
2016,trk,fed_intelprop,7.70E-12
2016,fdd,defense,586.2518001
2016,fdd,fed_intelprop,7.60E-12
2016,wtt,pce,19.72821643
2016,wtt,fed_intelprop,7.62E-12
2016,wpd,changinv,0.637532164
2016,wpd,fed_equipment,0.155863557
2016,wpd,structures,0.461557202
2016,wpd,residential,8.915394484
2016,wpd,pce,10.51626387
2016,wpd,fed_intelprop,7.64E-12
2016,wht,equipment,7.65E-12
2016,wrh,residential,7.65E-12
2016,wrh,pce,0.160696683
2016,ott,nondefense,7.61E-12
2016,ott,pce,5.062861285
2016,che,changinv,4.97448365
2016,che,equipment,2.709236089
2016,che,pce,605.3345552
2016,che,fed_intelprop,7.60E-12
2016,air,structures,7.65E-12
2016,air,pce,117.5352759
2016,mmf,fed_structures,7.60E-12
2016,mmf,def_equipment,0.003024078
2016,mmf,changinv,1.430317343
2016,mmf,state_equipment,0.195547277
2016,mmf,fed_equipment,0.023183473
2016,mmf,equipment,71.89184178
2016,mmf,pce,246.3885411
2016,otr,changinv,7.63E-12
2016,otr,pce,22.24848764
2016,min,changinv,0.440429881
2016,min,state_equipment,7.67E-12
2016,min,equipment,0.262065751
2016,min,pce,0.218222055
2015,ppd,changinv,2.659446383
2015,ppd,pce,44.16244189
2015,ppd,fed_intelprop,1.67E-11
2015,res,pce,672.3605063
2015,res,fed_intelprop,1.67E-11
2015,com,def_equipment,0.499127286
2015,com,state_equipment,0.186673614
2015,com,def_intelprop,7.430008634
2015,com,equipment,19.31522733
2015,com,state_intelprop,9.119055336
2015,com,intelprop,182.4010717
2015,com,state_consume,1.67E-11
2015,com,fed_intelprop,18.81610005
2015,amb,pce,945.4728009
2015,amb,fed_intelprop,1.67E-11
2015,fbp,changinv,14.65349995
2015,fbp,pce,983.3829135
2015,fbp,fed_intelprop,1.66E-11
2015,rec,pce,182.1855294
2015,rec,fed_intelprop,1.66E-11
2015,con,fed_structures,13.08633555
2015,con,def_structures,4.258505867
2015,con,state_invest,276.9098184
2015,con,structures,417.7343397
2015,con,residential,474.2112621
2015,con,fed_intelprop,1.66E-11
2015,agr,changinv,4.757841783
2015,agr,pce,135.409511
2015,agr,fed_intelprop,1.67E-11
2015,eec,def_equipment,0.315590967
2015,eec,changinv,2.971982354
2015,eec,state_equipment,0.831190202
2015,eec,fed_equipment,0.716612594
2015,eec,residential,8.670710766
