yr,i,m,Value
1998,wht,trn,1.3734E-12
1998,wht,trd,565.0389618
1998,wrh,trn,1.38248E-12
1998,wrh,trd,1.3914E-12
1998,ott,trn,1.37325E-12
1998,ott,trd,387.7702722
1998,che,trn,1.37568E-12
1998,che,trd,1.38456E-12
1998,air,trn,2.33624149
1998,air,trd,1.38781E-12
1998,mmf,trn,1.36999E-12
1998,mmf,trd,1.37883E-12
1998,otr,trn,0.686075437
1998,otr,trd,1.38555E-12
1998,min,trn,1.37086E-12
1998,min,trd,1.37971E-12
1999,ppd,trn,3.93649E-12
1999,ppd,trd,3.96794E-12
1999,res,trn,3.92962E-12
1999,res,trd,3.96102E-12
1999,com,trn,3.9223E-12
1999,com,trd,3.95359E-12
1999,amb,trn,3.932E-12
1999,amb,trd,3.96343E-12
1999,fbp,trn,3.93681E-12
1999,fbp,trd,3.96829E-12
1999,rec,trn,3.91313E-12
1999,rec,trd,3.94437E-12
1999,con,trn,3.93787E-12
1999,con,trd,3.96935E-12
1999,agr,trn,3.93698E-12
1999,agr,trd,3.96848E-12
1999,eec,trn,3.93056E-12
1999,eec,trd,3.96196E-12
1999,fnd,trn,3.93273E-12
1999,fnd,trd,3.96415E-12
1999,pub,trn,3.93321E-12
1999,pub,trd,3.96464E-12
1999,hou,trn,3.93684E-12
1999,hou,trd,3.9683E-12
1999,fbt,trn,3.92579E-12
1999,fbt,trd,116.8155133
1999,ins,trn,3.94443E-12
1999,ins,trd,3.97597E-12
1999,tex,trn,3.92977E-12
1999,tex,trd,3.96117E-12
1999,leg,trn,3.95071E-12
1999,leg,trd,3.98233E-12
1999,fen,trn,3.96484E-12
1999,fen,trd,3.9966E-12
1999,uti,trn,3.94621E-12
1999,uti,trd,3.97781E-12
1999,nmp,trn,3.93293E-12
1999,nmp,trd,3.96437E-12
1999,brd,trn,3.94564E-12
1999,brd,trd,3.9772E-12
1999,bnk,trn,3.9391E-12
1999,bnk,trd,3.97056E-12
1999,ore,trn,3.94648E-12
1999,ore,trd,3.97804E-12
1999,edu,trn,3.93325E-12
1999,edu,trd,3.96471E-12
1999,ote,trn,3.93074E-12
1999,ote,trd,3.96213E-12
1999,man,trn,3.94698E-12
1999,man,trd,3.97852E-12
1999,mch,trn,3.93601E-12
1999,mch,trd,3.96747E-12
1999,dat,trn,3.94361E-12
1999,dat,trd,3.97516E-12
1999,amd,trn,3.92466E-12
1999,amd,trd,3.95596E-12
1999,oil,trn,3.9157E-12
1999,oil,trd,3.94693E-12
1999,hos,trn,3.93799E-12
1999,hos,trd,3.9695E-12
1999,rnt,trn,3.94357E-12
1999,rnt,trd,3.97511E-12
1999,pla,trn,3.93756E-12
1999,pla,trd,3.96902E-12
1999,fof,trn,3.90186E-12
1999,fof,trd,3.93294E-12
1999,fin,trn,3.92438E-12
1999,fin,trd,3.95573E-12
1999,tsv,trn,3.9391E-12
1999,tsv,trd,3.97069E-12
1999,nrs,trn,3.91746E-12
1999,nrs,trd,3.9487E-12
1999,sec,trn,3.94149E-12
1999,sec,trd,3.97301E-12
1999,art,trn,3.93983E-12
1999,art,trd,3.97132E-12
1999,mov,trn,3.91862E-12
1999,mov,trd,3.94988E-12
1999,fpd,trn,3.91243E-12
1999,fpd,trd,3.94362E-12
1999,slg,trn,3.93597E-12
1999,slg,trd,3.96744E-12
1999,pri,trn,3.93532E-12
1999,pri,trd,3.96676E-12
1999,grd,trn,3.91159E-12
1999,grd,trd,3.94277E-12
1999,pip,trn,21.91664024
1999,pip,trd,3.95665E-12
1999,sle,trn,3.9346E-12
1999,sle,trd,3.96603E-12
1999,osv,trn,3.93724E-12
1999,osv,trd,3.96871E-12
1999,trn,trn,31.43410969
1999,trn,trd,3.97289E-12
1999,smn,trn,3.88429E-12
1999,smn,trd,3.91512E-12
1999,fmt,trn,3.93643E-12
1999,fmt,trd,3.96788E-12
1999,pet,trn,3.93284E-12
1999,pet,trd,3.96426E-12
1999,mvt,trn,3.9263E-12
1999,mvt,trd,104.2101943
1999,cep,trn,3.9352E-12
1999,cep,trd,3.96663E-12
1999,wst,trn,3.92729E-12
1999,wst,trd,3.95865E-12
1999,mot,trn,3.93493E-12
1999,mot,trd,3.96637E-12
1999,adm,trn,3.93878E-12
1999,adm,trd,3.97024E-12
1999,soc,trn,3.91032E-12
1999,soc,trd,3.94149E-12
1999,alt,trn,3.91753E-12
1999,alt,trd,3.94876E-12
1999,pmt,trn,3.91693E-12
1999,pmt,trd,3.94816E-12
1999,trk,trn,138.8162798
1999,trk,trd,3.98004E-12
1999,fdd,trn,3.93243E-12
1999,fdd,trd,3.96385E-12
1999,gmt,trn,3.92421E-12
1999,gmt,trd,101.8845932
1999,wtt,trn,8.828190722
1999,wtt,trd,3.97125E-12
1999,wpd,trn,3.92971E-12
1999,wpd,trd,3.9611E-12
1999,wht,trn,3.92803E-12
1999,wht,trd,610.5451291
1999,wrh,trn,3.94555E-12
1999,wrh,trd,3.97711E-12
1999,ott,trn,3.92906E-12
1999,ott,trd,408.4989335
1999,che,trn,3.93346E-12
1999,che,trd,3.96487E-12
1999,air,trn,2.497678563
1999,air,trd,3.97189E-12
1999,mmf,trn,3.9201E-12
1999,mmf,trd,3.95137E-12
1999,otr,trn,0.986329254
1999,otr,trd,3.96601E-12
1999,min,trn,3.92528E-12
1999,min,trd,3.95663E-12
2000,ppd,trn,8.94819E-12
2000,ppd,trd,9.01281E-12
2000,res,trn,8.93281E-12
2000,res,trd,8.99731E-12
2000,com,trn,8.91784E-12
2000,com,trd,8.98213E-12
2000,amb,trn,8.9388E-12
2000,amb,trd,9.00337E-12
2000,fbp,trn,8.94905E-12
2000,fbp,trd,9.01371E-12
2000,rec,trn,8.90587E-12
2000,rec,trd,8.97015E-12
2000,con,trn,8.94897E-12
2000,con,trd,9.01362E-12
2000,agr,trn,8.94694E-12
2000,agr,trd,9.01162E-12
2000,eec,trn,8.93204E-12
2000,eec,trd,8.99649E-12
2000,fnd,trn,8.93949E-12
2000,fnd,trd,9.00403E-12
2000,pub,trn,8.93743E-12
2000,pub,trd,9.00197E-12
2000,hou,trn,8.94661E-12
2000,hou,trd,9.01121E-12
2000,fbt,trn,8.92372E-12
2000,fbt,trd,117.0065127
2000,ins,trn,8.96317E-12
2000,ins,trd,9.02792E-12
2000,tex,trn,8.93201E-12
2000,tex,trd,8.99649E-12
2000,leg,trn,8.97196E-12
2000,leg,trd,9.0368E-12
2000,fen,trn,9.00324E-12
2000,fen,trd,9.06838E-12
2000,uti,trn,8.9677E-12
2000,uti,trd,9.03255E-12
2000,nmp,trn,8.93647E-12
2000,nmp,trd,9.00101E-12
2000,brd,trn,8.96742E-12
2000,brd,trd,9.03224E-12
2000,bnk,trn,8.9514E-12
2000,bnk,trd,9.01599E-12
2000,ore,trn,8.9696E-12
2000,ore,trd,9.03441E-12
2000,edu,trn,8.94216E-12
2000,edu,trd,9.00679E-12
2000,ote,trn,8.93079E-12
2000,ote,trd,8.99522E-12
2000,man,trn,8.96672E-12
2000,man,trd,9.03146E-12
2000,mch,trn,8.94808E-12
2000,mch,trd,9.01271E-12
2000,dat,trn,8.95674E-12
2000,dat,trd,9.02147E-12
2000,amd,trn,8.92212E-12
2000,amd,trd,8.98644E-12
2000,oil,trn,8.88618E-12
2000,oil,trd,8.95015E-12
2000,hos,trn,8.95136E-12
2000,hos,trd,9.01609E-12
2000,rnt,trn,8.96142E-12
2000,rnt,trd,9.02618E-12
2000,pla,trn,8.94799E-12
2000,pla,trd,9.01261E-12
2000,fof,trn,8.8758E-12
2000,fof,trd,8.93969E-12
2000,fin,trn,8.92728E-12
2000,fin,trd,8.99173E-12
2000,tsv,trn,8.95453E-12
2000,tsv,trd,9.01944E-12
2000,nrs,trn,8.90876E-12
2000,nrs,trd,8.97298E-12
2000,sec,trn,8.95928E-12
2000,sec,trd,9.02402E-12
2000,art,trn,8.95571E-12
2000,art,trd,9.02039E-12
2000,mov,trn,8.90804E-12
2000,mov,trd,8.97225E-12
2000,fpd,trn,8.89607E-12
2000,fpd,trd,8.96017E-12
