yr,j,Value
2009,nmp,0.014411627
2009,brd,0.005934028
2009,bnk,0.021442932
2009,ore,0.029454694
2009,edu,0.025803095
2009,ote,0.009494629
2009,man,0.018707785
2009,mch,0.011211352
2009,dat,0.009342847
2009,amd,0.02905744
2009,oil,0.074804973
2009,hos,0.016053804
2009,rnt,0.026453614
2009,pla,0.008764921
2009,fof,0.02184644
2009,fin,0.00900017
2009,tsv,0.007402703
2009,nrs,0.015685237
2009,sec,0.009930475
2009,art,0.016194868
2009,mov,0.030991616
2009,fpd,0.006452697
2009,pri,0.010063793
2009,grd,0.019359206
2009,pip,0.078283199
2009,osv,0.017901547
2009,trn,0.014675574
2009,smn,0.021125478
2009,fmt,0.009480014
2009,pet,0.005649143
2009,mvt,0.024716836
2009,cep,0.020217836
2009,wst,0.023576421
2009,mot,0.008382386
2009,adm,0.005129064
2009,soc,0.006020154
2009,alt,0.012582483
2009,pmt,0.014184226
2009,trk,0.013651995
2009,gmt,0.017034871
2009,wtt,0.014518478
2009,wpd,0.009633648
2009,wht,0.010479651
2009,wrh,0.007651665
2009,ott,0.017926176
2009,che,0.017342242
2009,air,0.024195603
2009,mmf,0.009834859
2009,otr,0.013122662
2009,min,0.019962588
2010,ppd,0.010208611
2010,res,0.007254393
2010,com,0.005040173
2010,amb,0.008416027
2010,fbp,0.006914565
2010,rec,0.026712774
2010,con,0.006038072
2010,agr,0.022522954
2010,eec,0.009686735
2010,pub,0.009640034
2010,hou,0.126580859
2010,fbt,0.015973659
2010,ins,0.008868894
2010,tex,0.012691273
2010,leg,0.003867381
2010,uti,0.057962747
2010,nmp,0.013570639
2010,brd,0.005841396
2010,bnk,0.021605538
2010,ore,0.027235546
2010,edu,0.024424378
2010,ote,0.009247793
2010,man,0.017382241
2010,mch,0.00997453
2010,dat,0.009336728
2010,amd,0.02777647
2010,oil,0.057743564
2010,hos,0.015445042
2010,rnt,0.02453943
2010,pla,0.007668424
2010,fof,0.020916886
2010,fin,0.007781458
2010,tsv,0.007375869
2010,nrs,0.015025076
2010,sec,0.009758937
2010,art,0.016012457
2010,mov,0.029664049
2010,fpd,0.006427274
2010,pri,0.009567661
2010,grd,0.020093258
2010,pip,0.073203622
2010,osv,0.017204317
2010,trn,0.012413652
2010,smn,0.019047503
2010,fmt,0.008819126
2010,pet,0.004553878
2010,mvt,0.018041743
2010,cep,0.019422376
2010,wst,0.021322705
2010,mot,0.006563064
2010,adm,0.005052411
2010,soc,0.005798301
2010,alt,0.012680536
2010,pmt,0.009869908
2010,trk,0.012906464
2010,gmt,0.016091304
2010,wtt,0.013784572
2010,wpd,0.00855177
2010,wht,0.008807164
2010,wrh,0.006775941
2010,ott,0.01693597
2010,che,0.015407741
2010,air,0.020785845
2010,mmf,0.009822346
2010,otr,0.012048926
2010,min,0.018847118
2011,ppd,0.009564239
2011,res,0.006753767
2011,com,0.004487039
2011,amb,0.008111344
2011,fbp,0.006471701
2011,rec,0.025240571
2011,con,0.005920817
2011,agr,0.020156427
2011,eec,0.00872455
2011,pub,0.009237728
