yr,va,j,Value
1999,compen,ott,189.8957248
1999,compen,che,69.83103068
1999,compen,air,39.35240379
1999,compen,mmf,35.39397042
1999,compen,otr,45.17540333
1999,compen,min,13.55541599
2000,surplus,ppd,27.74144209
2000,surplus,res,44.47281388
2000,surplus,com,16.33401309
2000,surplus,amb,63.99013962
2000,surplus,fbp,73.74323852
2000,surplus,rec,15.55841978
2000,surplus,con,148.4278376
2000,surplus,agr,71.42547239
2000,surplus,eec,13.52601885
2000,surplus,fnd,57.56770799
2000,surplus,pub,37.65554798
2000,surplus,hou,799.3498696
2000,surplus,fbt,23.17392962
2000,surplus,ins,127.3329831
2000,surplus,tex,6.822395283
2000,surplus,leg,48.93026051
2000,surplus,fen,10.58399727
2000,surplus,uti,94.87610287
2000,surplus,nmp,15.4994027
2000,surplus,brd,136.1874327
2000,surplus,bnk,176.0625505
2000,surplus,ore,121.7407182
2000,surplus,edu,16.56925713
2000,surplus,ote,19.58833598
2000,surplus,man,17.65684015
2000,surplus,mch,30.33571102
2000,surplus,dat,10.27542555
2000,surplus,amd,29.99293903
2000,surplus,oil,44.33398116
2000,surplus,hos,22.58850355
2000,surplus,rnt,101.2237077
2000,surplus,pla,23.70834083
2000,surplus,fof,10.80075462
2000,surplus,fin,12.17700486
2000,surplus,tsv,128.7965014
2000,surplus,nrs,3.376069652
2000,surplus,sec,3.733856954
2000,surplus,art,19.16049473
2000,surplus,mov,31.51083712
2000,surplus,fpd,9.212448289
2000,surplus,slg,91.24548902
2000,surplus,pri,7.681801793
2000,surplus,grd,7.042466591
2000,surplus,pip,3.206515164
2000,surplus,sle,31.20306711
2000,surplus,osv,95.3721899
2000,surplus,trn,6.661929327
2000,surplus,smn,3.655043726
2000,surplus,fmt,39.01255998
2000,surplus,pet,39.79828072
2000,surplus,mvt,34.38475782
2000,surplus,cep,70.90870029
2000,surplus,wst,9.624344832
2000,surplus,mot,55.19739809
2000,surplus,adm,46.82108523
2000,surplus,soc,9.32866935
2000,surplus,alt,5.901448297
2000,surplus,pmt,11.50314708
2000,surplus,trk,34.34866829
2000,surplus,fdd,102.9372696
2000,surplus,gmt,12.0836066
2000,surplus,wtt,4.117343529
2000,surplus,wpd,5.464109693
2000,surplus,wht,157.089306
2000,surplus,wrh,6.252485938
2000,surplus,ott,81.87812174
2000,surplus,che,108.8838275
2000,surplus,air,5.638690482
2000,surplus,mmf,20.83663076
2000,surplus,otr,15.01603644
2000,surplus,min,12.16733747
2000,compen,ppd,33.88649824
2000,compen,res,125.288529
2000,compen,com,106.2628946
2000,compen,amb,218.5688983
2000,compen,fbp,71.56231638
2000,compen,rec,28.83987559
2000,compen,con,308.3475223
2000,compen,agr,19.56232076
2000,compen,eec,31.25093924
2000,compen,fnd,86.06471984
2000,compen,pub,75.69885673
2000,compen,hou,10.79378883
2000,compen,fbt,65.37000768
2000,compen,ins,133.7195181
2000,compen,tex,20.25162676
2000,compen,leg,75.13700682
2000,compen,fen,53.92932118
2000,compen,uti,50.26279361
2000,compen,nmp,25.93921883
2000,compen,brd,109.6641813
2000,compen,bnk,134.5646723
2000,compen,ore,43.91556495
2000,compen,edu,74.58820879
2000,compen,ote,51.33989622
2000,compen,man,147.717519
2000,compen,mch,80.0057225
2000,compen,dat,31.69637907
2000,compen,amd,49.99557188
2000,compen,oil,13.35468081
2000,compen,hos,163.1729126
2000,compen,rnt,24.32995041
2000,compen,pla,40.11874492
2000,compen,fof,10.51196439
2000,compen,fin,1.092462149
2000,compen,tsv,273.2303443
2000,compen,nrs,64.08933877
2000,compen,sec,140.8578626
2000,compen,art,26.49953755
2000,compen,mov,20.41302039
2000,compen,fpd,23.76976574
2000,compen,slg,730.4176317
2000,compen,pri,35.09202589
2000,compen,grd,10.4743082
2000,compen,pip,4.803420307
2000,compen,sle,54.55490453
2000,compen,osv,171.8205642
2000,compen,trn,16.11401319
2000,compen,smn,9.804129406
2000,compen,fmt,80.30731165
2000,compen,pet,11.06267445
2000,compen,mvt,77.14592602
2000,compen,cep,149.0711589
2000,compen,wst,14.30068583
2000,compen,mot,79.99174859
2000,compen,adm,203.9729852
2000,compen,soc,42.33650122
2000,compen,alt,15.71805206
2000,compen,pmt,37.68547908
2000,compen,trk,58.65432645
2000,compen,fdd,119.5685867
2000,compen,gmt,55.29225463
2000,compen,wtt,3.339077651
2000,compen,wpd,22.06525825
2000,compen,wht,324.9779071
2000,compen,wrh,19.92500063
2000,compen,ott,203.9532066
2000,compen,che,73.90951146
2000,compen,air,41.99069936
2000,compen,mmf,37.1548937
2000,compen,otr,49.42593603
2000,compen,min,13.03593609
2001,surplus,ppd,19.74660353
2001,surplus,res,45.49440074
2001,surplus,com,3.128302591
2001,surplus,amb,71.33823181
2001,surplus,fbp,83.11318975
2001,surplus,rec,9.707662545
2001,surplus,con,155.9527465
2001,surplus,agr,72.36398185
2001,surplus,eec,13.32909491
2001,surplus,fnd,59.74645693
2001,surplus,pub,37.41664931
2001,surplus,hou,857.7201667
2001,surplus,fbt,26.71109567
2001,surplus,ins,105.4008588
2001,surplus,tex,5.703852758
2001,surplus,leg,54.00752213
2001,surplus,fen,8.201084223
2001,surplus,uti,99.87724115
2001,surplus,nmp,14.18283639
2001,surplus,brd,139.8876475
2001,surplus,bnk,183.6896092
2001,surplus,ore,134.3221867
2001,surplus,edu,18.23524378
2001,surplus,ote,24.04920806
2001,surplus,man,18.1846558
2001,surplus,mch,28.20036363
2001,surplus,dat,18.03013917
2001,surplus,amd,26.60829967
2001,surplus,oil,50.95585711
2001,surplus,hos,23.69194952
2001,surplus,rnt,113.874204
2001,surplus,pla,23.39324647
2001,surplus,fof,10.40889506
2001,surplus,fin,13.29627721
2001,surplus,tsv,137.1971725
2001,surplus,nrs,3.529768546
2001,surplus,sec,29.15569612
2001,surplus,art,19.73592345
2001,surplus,mov,38.74058898
2001,surplus,fpd,7.939639454
2001,surplus,slg,96.81894285
2001,surplus,pri,7.730816176
2001,surplus,grd,7.396632967
2001,surplus,pip,9.817373388
2001,surplus,sle,29.31373379
2001,surplus,osv,76.19324019
2001,surplus,trn,6.80520458
2001,surplus,smn,7.870958487
2001,surplus,fmt,32.15094676
2001,surplus,pet,54.5792177
2001,surplus,mvt,29.20314302
2001,surplus,cep,32.01457607
2001,surplus,wst,11.35576084
2001,surplus,mot,49.78090143
2001,surplus,adm,53.24031731
2001,surplus,soc,10.78197487
2001,surplus,alt,4.762480558
2001,surplus,pmt,7.506323606
2001,surplus,trk,32.86844412
2001,surplus,fdd,102.058099
2001,surplus,gmt,12.79626441
2001,surplus,wtt,4.355772785
2001,surplus,wpd,5.124205776
2001,surplus,wht,149.3257676
2001,surplus,wrh,5.243674549
2001,surplus,ott,89.52909223
2001,surplus,che,112.7198616
2001,surplus,air,0.500684548
2001,surplus,mmf,18.99414042
