yr,i,fd,value
2017,fin,def_structures,-9.99E-09
2017,tsv,def_structures,-9.99E-09
2017,nrs,def_structures,-9.99E-09
2017,sec,def_structures,-9.99E-09
2017,art,def_structures,-9.99E-09
2017,mov,def_structures,-9.99E-09
2017,fpd,def_structures,-9.99E-09
2017,slg,def_structures,-9.99E-09
2017,pri,def_structures,-9.99E-09
2017,grd,def_structures,-9.99E-09
2017,pip,def_structures,-9.99E-09
2017,sle,def_structures,-9.99E-09
2017,osv,def_structures,-9.99E-09
2017,trn,def_structures,-9.99E-09
2017,smn,def_structures,-9.99E-09
2017,fmt,def_structures,-9.99E-09
2017,pet,def_structures,-9.99E-09
2017,mvt,def_structures,0
2017,cep,def_structures,-9.99E-09
2017,wst,def_structures,-9.99E-09
2017,mot,def_structures,-9.99E-09
2017,adm,def_structures,-9.99E-09
2017,soc,def_structures,-9.99E-09
2017,alt,def_structures,-9.99E-09
2017,pmt,def_structures,-9.99E-09
2017,trk,def_structures,-9.99E-09
2017,fdd,def_structures,-9.99E-09
2017,gmt,def_structures,0
2017,wtt,def_structures,-9.99E-09
2017,wpd,def_structures,-9.99E-09
2017,wht,def_structures,-9.99E-09
2017,wrh,def_structures,-9.99E-09
2017,ott,def_structures,-9.99E-09
2017,che,def_structures,-9.99E-09
2017,air,def_structures,-9.99E-09
2017,mmf,def_structures,-9.99E-09
2017,otr,def_structures,-9.99E-09
2017,min,def_structures,-9.99E-09
2017,ppd,state_equipment,-9.99E-09
2017,res,state_equipment,-9.99E-09
2017,com,state_equipment,0.002993971
2017,amb,state_equipment,-9.99E-09
2017,fbp,state_equipment,-9.99E-09
2017,rec,state_equipment,-9.99E-09
2017,con,state_equipment,-9.99E-09
2017,agr,state_equipment,-9.99E-09
2017,eec,state_equipment,0.035173313
2017,fnd,state_equipment,-9.99E-09
2017,pub,state_equipment,-9.99E-09
2017,hou,state_equipment,-9.99E-09
2017,fbt,state_equipment,0
2017,ins,state_equipment,-9.99E-09
2017,tex,state_equipment,-9.99E-09
2017,leg,state_equipment,-9.99E-09
2017,fen,state_equipment,-9.99E-09
2017,uti,state_equipment,-9.99E-09
2017,nmp,state_equipment,-9.99E-09
2017,brd,state_equipment,-9.99E-09
2017,bnk,state_equipment,-9.99E-09
2017,ore,state_equipment,-9.99E-09
2017,edu,state_equipment,-9.99E-09
2017,ote,state_equipment,0.038995982
2017,man,state_equipment,-9.99E-09
2017,mch,state_equipment,0.181857354
2017,dat,state_equipment,-9.99E-09
2017,amd,state_equipment,-9.99E-09
2017,oil,state_equipment,-9.99E-09
2017,hos,state_equipment,-9.99E-09
2017,rnt,state_equipment,-9.99E-09
2017,pla,state_equipment,-9.99E-09
2017,fof,state_equipment,-9.99E-09
2017,fin,state_equipment,-9.99E-09
2017,tsv,state_equipment,-9.99E-09
2017,nrs,state_equipment,-9.99E-09
2017,sec,state_equipment,-9.99E-09
2017,art,state_equipment,-9.99E-09
2017,mov,state_equipment,-9.99E-09
2017,fpd,state_equipment,0.005043871
2017,slg,state_equipment,-9.99E-09
2017,pri,state_equipment,-9.99E-09
2017,grd,state_equipment,-9.99E-09
2017,pip,state_equipment,-9.99E-09
