t_elas_y,,,,,,,,,,,,,,,,,,,,,,,
"A[(:sec,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:art,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:mov,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:fpd,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:slg,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:pri,)]",6,,,,,,,,,,,,,,,,,,,,,,
"A[(:grd,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:pip,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:sle,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:osv,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:trn,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:smn,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:fmt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:pet,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:mvt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:cep,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:wst,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:mot,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:adm,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:soc,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:alt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:pmt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:trk,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:fdd,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:gmt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:wtt,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:wpd,)]",7,,,,,,,,,,,,,,,,,,,,,,
"A[(:wht,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:wrh,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:ott,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:che,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:air,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:mmf,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:otr,)]",8,,,,,,,,,,,,,,,,,,,,,,
"A[(:min,)]",8,,,,,,,,,,,,,,,,,,,,,,
"MS[(:trn,)]",9,,,,,,,,,,,,,,,,,,,,,,
"MS[(:trd,)]",9,,,,,,,,,,,,,,,,,,,,,,
"PA[(:ppd,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:res,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:com,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:amb,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:fbp,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:rec,)]",10,,,,,,,,,,,,,,,,,,,,,,
"PA[(:con,)]",10,,,,,,,,,,,,,,,,,,,,,,
